Time step,Grid total load,Grid net load,s1 total load,
0,84.692,84.692,84.692,
1,72.54,72.54,72.54,
2,68.076,68.076,68.076,
3,67.332,67.332,67.332,
4,66.96,66.96,66.96,
5,74.4,74.4,74.4,
6,102.672,102.672,102.672,
7,140.988,140.988,140.988,
8,129.332,129.332,129.332,
9,101.68,101.68,101.68,
10,99.82,99.82,99.82,
11,100.316,100.316,100.316,
12,97.092,97.092,97.092,
13,96.596,96.596,96.596,
14,95.728,95.728,95.728,
15,100.192,100.192,100.192,
16,117.552,117.552,117.552,
17,157.728,157.728,157.728,
18,205.84,205.84,205.84,
19,231.508,231.508,231.508,
20,226.92,636.12,636.12,
21,197.904,607.104,607.104,
22,160.58,569.78,569.78,
23,123.256,461.972,461.972,
24,84.196,84.196,84.196,
25,70.556,70.556,70.556,
26,66.092,66.092,66.092,
27,64.976,64.976,64.976,
28,64.604,64.604,64.604,
29,71.672,71.672,71.672,
30,97.712,97.712,97.712,
31,137.392,137.392,137.392,
32,127.1,127.1,127.1,
33,100.564,100.564,100.564,
34,99.2,99.2,99.2,
35,100.316,100.316,100.316,
36,97.092,97.092,97.092,
37,96.596,96.596,96.596,
38,95.728,95.728,95.728,
39,100.192,100.192,100.192,
40,117.552,117.552,117.552,
41,157.728,157.728,157.728,
42,205.84,205.84,205.84,
43,231.508,231.508,231.508,
44,226.92,636.12,636.12,
45,197.904,607.104,607.104,
46,160.704,569.904,569.904,
47,124.372,463.088,463.088,
48,86.676,86.676,86.676,
49,74.028,74.028,74.028,
50,69.192,69.192,69.192,
51,67.952,67.952,67.952,
52,67.332,67.332,67.332,
53,74.028,74.028,74.028,
54,101.184,101.184,101.184,
55,139.624,139.624,139.624,
56,128.588,128.588,128.588,
57,100.812,100.812,100.812,
58,99.696,99.696,99.696,
59,100.812,100.812,100.812,
60,97.092,97.092,97.092,
61,96.596,96.596,96.596,
62,95.728,95.728,95.728,
63,100.192,100.192,100.192,
64,117.552,117.552,117.552,
65,157.728,157.728,157.728,
66,205.84,205.84,205.84,
67,231.508,231.508,231.508,
68,226.92,636.12,636.12,
69,197.904,607.104,607.104,
70,160.58,569.78,569.78,
71,124.124,462.84,462.84,
72,86.924,86.924,86.924,
73,74.276,74.276,74.276,
74,69.812,69.812,69.812,
75,69.316,69.316,69.316,
