Time step,Total load requested [kW],Total load served [kW],SolarResource global horizontal radiation [W/m2],SolarResource direct horizontal radiation [W/m2],SolarResource diffuse horizontal radiation [W/m2],SolarResource clearness index [-],SolarPV incident radiation [kW/m2],SolarPV power output [kW],Converter input [kW],Converter output [kW],Battery output power [kW],Battery max charge power [kW],Battery charge power [kW],Battery max discharge power [kW],Battery discharge power [kW],Battery capacity as energy [kWh],Battery capacity as fraction [%],ElectricVehicle charge power [kW],ElectricVehicle capacity as energy [kWh],ElectricVehicle capacity as fraction [%],
0,0.683,0.683,0,0,0,0,90,0,0,0,0,0,2.01608,0,5.77499,0,808.738,0.808738,24,100,
1,0.585,0.585,0,0,0,0,90,0,0,0,0,0,2.01608,0,5.77499,0,808.738,0.808738,24,100,
2,0.549,0.549,0,0,0,0,90,0,0,0,0,0,2.01608,0,5.77499,0,808.738,0.808738,24,100,
3,0.543,0.543,0,0,0,0,90,0,0,0,0,0,2.01608,0,5.77499,0,808.738,0.808738,24,100,
4,0.54,0.54,0,0,0,0,90,0,0,0,0,0,2.01608,0,5.77499,0,808.738,0.808738,0,0,
5,0.6,0.6,0,0,0,0,90,0,0,0,0,0,2.01608,0,5.77499,0,808.738,0.808738,0,0,
6,0.828,0.828,0,0,0,0,90,0,0,0,0,0,2.01608,0,5.77499,0,808.738,0.808738,0,0,
7,1.137,1.137,0,0,0,0,90,0,0,0,0,0,2.01608,0,5.77499,0,808.738,0.808738,0,0,
8,1.043,1.043,107,1.32628,105.674,0.137724,90,0.535,0,0.50825,0,0,2.01608,0,5.77499,0,808.738,0.808738,0,0,
9,0.82,0.82,271,8.80264,262.197,0.266016,90,1.355,0,1.28725,0,0,2.01608,0,5.77499,0,808.738,0.808738,0,0,
10,0.805,0.805,391,28.9298,362.07,0.328245,90,1.955,0.000820612,1.85725,0,0,2.01608,0.000820612,5.77499,-0.000820612,808.816,0.808816,0,0,
11,0.809,0.809,483,61.5862,421.414,0.376605,90,2.415,0.000941512,2.29425,0,0,2.01526,0.000941512,5.77573,-0.000941512,808.905,0.808905,0,0,
12,0.783,0.783,526,91.2103,434.79,0.408863,1.55986,2.63,0.0010343,2.4985,0,0,2.01432,0.0010343,5.77658,-0.0010343,809.003,0.809003,0,0,
13,0.779,0.779,497,89.5296,407.47,0.413183,2.61422,2.485,0.00103296,5.77854,5.77751,5,2.01329,7.58947,5.77751,5.77751,200,0.2,0,0,
14,0.772,0.772,437,84.4029,352.597,0.42129,0.82874,2.185,0.00182671,0.00182671,0,0.00173537,8.43274,0,0,0,200,0.2,0,0,
15,0.808,0.808,203,5.61216,197.388,0.25341,2.23681,1.015,0.000633526,0.000633526,0,0.00060185,8.43274,0,0,0,200,0.2,0,0,
16,0.948,0.948,169,12.9641,156.036,0.331189,1.48235,0.845,0.000907442,0.948,0.152895,0,8.43274,0.000907442,0,-0.000907442,200.086,0.200086,0,0,
17,1.272,1.272,0,0,0,0,1.42776,0,0,1.272,0,0.169883,8.43183,0,0.000816698,0,200.086,0.200086,0,0,
18,1.66,1.66,0,0,0,0,1.68947,0,0,0,0,1.6576,8.43183,0,0.000816698,0,200.086,0.200086,0,0,
