Time step,Grid total load,Grid net load,s1 total load,
0,1040.21,1040.21,1040.21,
1,890.955,890.955,890.955,
2,836.127,836.127,836.127,
3,826.989,826.989,826.989,
4,822.42,822.42,822.42,
5,913.8,913.8,913.8,
6,1261.04,1261.04,1261.04,
7,1731.65,1731.65,1731.65,
8,1588.49,814.424,814.424,
9,1248.86,-711.622,-711.622,
10,1226.02,-1602.58,-1602.58,
11,1232.11,-2262.04,-2262.04,
12,1192.51,-2612.71,-2612.71,
13,1186.42,-2409.01,-2409.01,
14,1175.76,-1985.61,-1985.61,
15,1230.58,-237.969,-237.969,
16,1443.8,0,0,
17,1937.26,0,0,
18,2528.18,2528.18,2528.18,
19,2843.44,2843.44,2843.44,
20,2787.09,7812.99,7812.99,
21,2430.71,7456.61,7456.61,
22,1972.28,6998.18,6998.18,
23,1513.86,5674.06,5674.06,
24,1034.12,1034.12,1034.12,
25,866.587,866.587,866.587,
26,811.759,811.759,811.759,
27,798.052,798.052,798.052,
28,793.483,793.483,793.483,
29,880.294,880.294,880.294,
30,1200.12,1200.12,1200.12,
31,1687.48,1687.48,1687.48,
32,1561.07,1561.07,1561.07,
33,1235.15,1235.15,1235.15,
34,1218.4,-1056.62,-1056.62,
35,1232.11,-1741.17,-1741.17,
36,1192.51,-710.099,-710.099,
37,1186.42,-716.191,-716.191,
38,1175.76,-632.806,-632.806,
39,1230.58,0,0,
40,1443.8,0,0,
41,1937.26,0,0,
42,2528.18,2528.18,2528.18,
43,2843.44,2843.44,2843.44,
44,2787.09,7812.99,7812.99,
45,2430.71,7456.61,7456.61,
46,1973.81,6999.71,6999.71,
47,1527.57,5687.76,5687.76,
48,1064.58,1064.58,1064.58,
49,909.231,909.231,909.231,
50,849.834,849.834,849.834,
51,834.604,834.604,834.604,
52,826.989,826.989,826.989,
53,909.231,909.231,909.231,
54,1242.77,1242.77,1242.77,
55,1714.9,1714.9,1714.9,
56,1579.35,1579.35,1579.35,
57,1238.2,1238.2,1238.2,
58,1224.49,-1264.3,-1264.3,
59,1238.2,-27.7947,-27.7947,
60,1192.51,-391.792,-391.792,
61,1186.42,-585.974,-585.974,
62,1175.76,-307.265,-307.265,
63,1230.58,0,0,
64,1443.8,0,0,
65,1937.26,0,0,
66,2528.18,2528.18,2528.18,
67,2843.44,2843.44,2843.44,
68,2787.09,7812.99,7812.99,
69,2430.71,7456.61,7456.61,
70,1972.28,6998.18,6998.18,
71,1524.52,5684.72,5684.72,
72,1067.62,1067.62,1067.62,
73,912.277,912.277,912.277,
74,857.449,857.449,857.449,
75,851.357,851.357,851.357,
76,846.788,846.788,846.788,
77,932.076,932.076,932.076,
78,1274.75,1274.75,1274.75,
79,1745.36,1745.36,1745.36,
80,1594.58,1594.58,1594.58,
81,1261.04,1045.41,1045.41,
82,1248.86,-1644.84,-1644.84,
83,1232.11,-2298.21,-2298.21,
84,1192.51,-2605.47,-2605.47,
85,1186.42,-2365.6,-2365.6,
86,1175.76,-1971.14,-1971.14,
87,1230.58,-997.565,-997.565,
88,1443.8,0,0,
89,1937.26,0,0,
90,2528.18,2528.18,2528.18,
91,2843.44,2843.44,2843.44,
92,2787.09,7812.99,7812.99,
93,2430.71,7456.61,7456.61,
94,1972.28,6998.18,6998.18,
95,1515.38,5675.58,5675.58,
96,1061.53,1061.53,1061.53,
97,907.708,907.708,907.708,
98,855.926,855.926,855.926,
99,852.88,852.88,852.88,
100,845.265,845.265,845.265,
101,938.168,938.168,938.168,
102,1291.5,1291.5,1291.5,
103,1783.43,1783.43,1783.43,
104,1641.79,1641.79,1641.79,
105,1325.01,998.411,998.411,
106,1315.87,-1534.42,-1534.42,
107,1312.83,-2217.49,-2217.49,
108,1265.61,-2329.81,-2329.81,
109,1253.43,-2544.55,-2544.55,
110,1232.11,-1914.79,-1914.79,
111,1291.5,-871.537,-871.537,
112,1498.63,0,0,
113,1992.08,0,0,
114,2581.49,2581.49,2581.49,
115,2896.75,2896.75,2896.75,
116,2841.92,7867.82,7867.82,
117,2484.01,7509.91,7509.91,
118,2016.45,7042.35,7042.35,
119,1544.32,5704.52,5704.52,
120,1078.28,1078.28,1078.28,
121,924.461,924.461,924.461,
122,871.156,871.156,871.156,
123,857.449,857.449,857.449,
124,860.495,860.495,860.495,
125,954.921,954.921,954.921,
126,1309.78,1309.78,1309.78,
127,1792.57,1792.57,1792.57,
128,1684.44,1684.44,1684.44,
129,1358.52,1358.52,1358.52,
130,1349.38,-1297.34,-1297.34,
131,1312.83,-2326,-2326,
132,1265.61,-2286.4,-2286.4,
133,1253.43,-2291.35,-2291.35,
134,1232.11,-1668.83,-1668.83,
135,1291.5,-914.942,-914.942,
136,1498.63,0,0,
137,1992.08,0,0,
138,2581.49,2581.49,2581.49,
139,2896.75,2896.75,2896.75,
140,2841.92,7867.82,7867.82,
141,2484.01,7509.91,7509.91,
142,2016.45,7042.35,7042.35,
143,1541.28,5701.47,5701.47,
144,1061.53,1061.53,1061.53,
145,907.708,907.708,907.708,
146,854.403,854.403,854.403,
147,848.311,848.311,848.311,
148,845.265,845.265,845.265,
149,932.076,932.076,932.076,
150,1273.23,1273.23,1273.23,
151,1749.93,1749.93,1749.93,
152,1606.76,1606.76,1606.76,
153,1274.75,1274.75,1274.75,
154,1258,-1174.11,-1174.11,
155,1235.15,-1405.35,-1405.35,
156,1192.51,-2677.81,-2677.81,
157,1186.42,-1844.73,-1844.73,
158,1175.76,-1218.78,-1218.78,
159,1230.58,-1135.02,-1135.02,
160,1443.8,0,0,
161,1937.26,0,0,
162,2528.18,2528.18,2528.18,
163,2843.44,2843.44,2843.44,
164,2787.09,7812.99,7812.99,
165,2430.71,7456.61,7456.61,
166,1972.28,6998.18,6998.18,
167,1513.86,5674.06,5674.06,
168,1034.12,1034.12,1034.12,
169,862.018,862.018,862.018,
170,801.098,801.098,801.098,
171,799.575,799.575,799.575,
172,795.006,795.006,795.006,
173,886.386,886.386,886.386,
174,1230.58,1230.58,1230.58,
175,1710.33,1710.33,1710.33,
176,1556.51,1556.51,1556.51,
177,1222.97,705.064,705.064,
178,1218.4,-1704.24,-1704.24,
179,1232.11,-2406.72,-2406.72,
180,1192.51,-2713.99,-2713.99,
181,1186.42,-2430.71,-2430.71,
182,1175.76,-2094.12,-2094.12,
183,1230.58,-1127.78,-1127.78,
184,1443.8,0,0,
185,1937.26,0,0,
186,2528.18,2528.18,2528.18,
187,2843.44,2843.44,2843.44,
188,2787.09,7812.99,7812.99,
189,2430.71,7456.61,7456.61,
190,1972.28,6998.18,6998.18,
191,1513.86,5674.06,5674.06,
192,1034.12,1034.12,1034.12,
193,862.018,862.018,862.018,
194,790.437,790.437,790.437,
195,767.592,767.592,767.592,
196,747.793,747.793,747.793,
197,828.512,828.512,828.512,
198,1155.96,1155.96,1155.96,
199,1644.84,1644.84,1644.84,
200,1519.95,1519.95,1519.95,
201,1222.97,1222.97,1222.97,
202,1218.4,-1356.44,-1356.44,
203,1232.11,-1697.76,-1697.76,
204,1192.51,-1491.4,-1491.4,
205,1186.42,-1461.32,-1461.32,
206,1175.76,-1211.55,-1211.55,
207,1230.58,-404.356,-404.356,
208,1443.8,0,0,
209,1937.26,0,0,
210,2528.18,2528.18,2528.18,
211,2843.44,2843.44,2843.44,
212,2787.09,7812.99,7812.99,
213,2430.71,7456.61,7456.61,
214,1972.28,6998.18,6998.18,
215,1513.86,5674.06,5674.06,
216,1034.12,1034.12,1034.12,
217,862.018,862.018,862.018,
218,790.437,790.437,790.437,
219,767.592,767.592,767.592,
220,747.793,747.793,747.793,
221,828.512,828.512,828.512,
222,1152.91,1152.91,1152.91,
223,1643.32,1643.32,1643.32,
224,1524.52,1524.52,1524.52,
225,1226.02,1226.02,1226.02,
226,1226.02,1192.81,1192.81,
227,1232.11,-2290.97,-2290.97,
228,1192.51,-2750.16,-2750.16,
229,1186.42,-2597.1,-2597.1,
230,1175.76,-1855.39,-1855.39,
231,1230.58,0,0,
232,1443.8,0,0,
233,1937.26,0,0,
234,2528.18,2528.18,2528.18,
235,2843.44,2843.44,2843.44,
236,2787.09,7812.99,7812.99,
237,2430.71,7456.61,7456.61,
238,1972.28,6998.18,6998.18,
239,1513.86,5674.06,5674.06,
240,1034.12,1034.12,1034.12,
241,862.018,862.018,862.018,
242,795.006,795.006,795.006,
243,776.73,776.73,776.73,
244,772.161,772.161,772.161,
245,854.403,854.403,854.403,
246,1194.03,1194.03,1194.03,
247,1667.68,1667.68,1667.68,
248,1521.48,1521.48,1521.48,
249,1222.97,1222.97,1222.97,
250,1218.4,-132.205,-132.205,
251,1232.11,-2442.89,-2442.89,
252,1192.51,-2750.16,-2750.16,
253,1186.42,-2553.69,-2553.69,
254,1175.76,-2029.02,-2029.02,
255,1230.58,-1207.36,-1207.36,
256,1443.8,0,0,
257,1937.26,0,0,
258,2528.18,2528.18,2528.18,
259,2843.44,2843.44,2843.44,
260,2787.09,7812.99,7812.99,
261,2430.71,7456.61,7456.61,
262,1972.28,6998.18,6998.18,
263,1513.86,5674.06,5674.06,
264,1044.78,1044.78,1044.78,
265,868.11,868.11,868.11,
266,795.006,795.006,795.006,
267,770.638,770.638,770.638,
268,769.115,769.115,769.115,
269,869.633,869.633,869.633,
270,1215.35,1215.35,1215.35,
271,1716.42,1716.42,1716.42,
272,1593.06,1593.06,1593.06,
273,1291.5,782.441,782.441,
274,1296.07,-1662.74,-1662.74,
275,1312.83,-2282.6,-2282.6,
276,1265.61,-2677.05,-2677.05,
277,1253.43,-2486.68,-2486.68,
278,1232.11,-1878.62,-1878.62,
279,1291.5,-972.816,-972.816,
280,1498.63,0,0,
281,1992.08,0,0,
282,2581.49,2581.49,2581.49,
283,2896.75,2896.75,2896.75,
284,2841.92,7867.82,7867.82,
285,2484.01,7509.91,7509.91,
286,2016.45,7042.35,7042.35,
287,1538.23,5698.42,5698.42,
288,1044.78,1044.78,1044.78,
289,868.11,868.11,868.11,
290,795.006,795.006,795.006,
291,778.253,778.253,778.253,
292,784.345,784.345,784.345,
293,878.771,878.771,878.771,
294,1235.15,1235.15,1235.15,
295,1731.65,1731.65,1731.65,
296,1603.72,1603.72,1603.72,
297,1291.5,812.647,812.647,
298,1296.07,-1619.33,-1619.33,
299,1312.83,-2282.6,-2282.6,
300,1265.61,-2517.9,-2517.9,
301,1253.43,-2436.04,-2436.04,
302,1232.11,-2008.84,-2008.84,
303,1291.5,-1074.1,-1074.1,
304,1498.63,0,0,
305,1992.08,0,0,
306,2581.49,2581.49,2581.49,
307,2896.75,2896.75,2896.75,
308,2841.92,7867.82,7867.82,
309,2484.01,7509.91,7509.91,
310,2016.45,7042.35,7042.35,
311,1538.23,5698.42,5698.42,
312,1034.12,1034.12,1034.12,
313,862.018,862.018,862.018,
314,805.667,805.667,805.667,
315,804.144,804.144,804.144,
316,807.19,807.19,807.19,
317,900.093,900.093,900.093,
318,1238.2,1238.2,1238.2,
319,1710.33,1710.33,1710.33,
320,1561.07,1561.07,1561.07,
321,1222.97,605.858,605.858,
322,1218.4,-1740.41,-1740.41,
323,1232.11,-2442.89,-2442.89,
324,1192.51,-2865.91,-2865.91,
325,1186.42,-2582.63,-2582.63,
326,1175.76,-2057.95,-2057.95,
327,1230.58,-1019.27,-1019.27,
328,1443.8,0,0,
329,1937.26,0,0,
330,2528.18,2528.18,2528.18,
331,2843.44,2843.44,2843.44,
332,2787.09,7812.99,7812.99,
333,2430.71,7456.61,7456.61,
334,1972.28,6998.18,6998.18,
335,1513.86,5674.06,5674.06,
336,1034.12,1034.12,1034.12,
337,862.018,862.018,862.018,
338,795.006,795.006,795.006,
339,790.437,790.437,790.437,
340,784.345,784.345,784.345,
341,875.725,875.725,875.725,
342,1210.79,1210.79,1210.79,
343,1689.01,1689.01,1689.01,
344,1570.21,1570.21,1570.21,
345,1268.66,1268.66,1268.66,
346,1279.32,1279.32,1279.32,
347,1271.7,1265.02,1265.02,
348,1201.65,-1315.87,-1315.87,
349,1186.42,-448.523,-448.523,
350,1175.76,-1377.93,-1377.93,
351,1230.58,0,0,
352,1443.8,1443.8,1443.8,
353,1937.26,0,0,
354,2528.18,2528.18,2528.18,
355,2843.44,2843.44,2843.44,
356,2787.09,7812.99,7812.99,
357,2430.71,7456.61,7456.61,
358,1972.28,6998.18,6998.18,
359,1513.86,5674.06,5674.06,
360,1037.16,1037.16,1037.16,
361,877.248,877.248,877.248,
362,816.328,816.328,816.328,
363,802.621,802.621,802.621,
364,793.483,793.483,793.483,
365,875.725,875.725,875.725,
366,1203.17,1203.17,1203.17,
367,1682.91,1682.91,1682.91,
368,1562.6,1562.6,1562.6,
369,1268.66,1268.66,1268.66,
370,1276.27,1276.27,1276.27,
371,1258,385.784,385.784,
372,1192.51,-1679.49,-1679.49,
373,1186.42,-484.695,-484.695,
374,1175.76,401.691,401.691,
375,1230.58,0,0,
376,1443.8,0,0,
377,1937.26,0,0,
378,2528.18,2528.18,2528.18,
379,2843.44,2843.44,2843.44,
380,2787.09,7812.99,7812.99,
381,2430.71,7456.61,7456.61,
382,1972.28,6998.18,6998.18,
383,1532.14,5692.33,5692.33,
384,1070.67,1070.67,1070.67,
385,913.8,913.8,913.8,
386,857.449,857.449,857.449,
387,843.742,843.742,843.742,
388,837.65,837.65,837.65,
389,925.984,925.984,925.984,
390,1258,1258,1258,
391,1733.17,1733.17,1733.17,
392,1588.49,1588.49,1588.49,
393,1258,777.915,777.915,
394,1244.29,-1743.45,-1743.45,
395,1232.11,-2515.23,-2515.23,
396,1192.51,-2938.25,-2938.25,
397,1186.42,-2785.19,-2785.19,
398,1175.76,-2274.98,-2274.98,
399,1230.58,-1265.23,-1265.23,
400,1443.8,-46.4515,-46.4515,
401,1937.26,0,0,
402,2528.18,2528.18,2528.18,
403,2843.44,2843.44,2843.44,
404,2787.09,7812.99,7812.99,
405,2430.71,7456.61,7456.61,
406,1975.33,7001.23,7001.23,
407,1533.66,5693.86,5693.86,
408,1085.9,1085.9,1085.9,
409,933.599,933.599,933.599,
410,883.34,883.34,883.34,
411,886.386,886.386,886.386,
412,878.771,878.771,878.771,
413,961.013,961.013,961.013,
414,1315.87,1315.87,1315.87,
415,1784.96,1784.96,1784.96,
416,1637.22,1637.22,1637.22,
417,1320.44,1133.07,1133.07,
418,1286.93,-1838.26,-1838.26,
419,1242.77,-2613.09,-2613.09,
420,1192.51,-2974.42,-2974.42,
421,1186.42,-2531.99,-2531.99,
422,1175.76,-2180.94,-2180.94,
423,1230.58,-1149.48,-1149.48,
424,1443.8,-24.7487,-24.7487,
425,1937.26,0,0,
426,2528.18,2528.18,2528.18,
427,2843.44,2843.44,2843.44,
428,2787.09,7812.99,7812.99,
429,2430.71,7456.61,7456.61,
430,1989.04,7014.94,7014.94,
431,1554.98,5715.18,5715.18,
432,1116.36,1116.36,1116.36,
433,959.49,959.49,959.49,
434,903.139,903.139,903.139,
435,892.478,892.478,892.478,
436,887.909,887.909,887.909,
437,977.766,977.766,977.766,
438,1337.19,1337.19,1337.19,
439,1813.89,1813.89,1813.89,
440,1675.3,1675.3,1675.3,
441,1366.13,613.684,613.684,
442,1378.32,-480.887,-480.887,
443,1355.47,-1053.54,-1053.54,
444,1265.61,-2742.16,-2742.16,
445,1253.43,-1206.22,-1206.22,
446,1232.11,-1987.13,-1987.13,
447,1291.5,-126.409,-126.409,
448,1498.63,0,0,
449,1992.08,0,0,
450,2581.49,2581.49,2581.49,
451,2896.75,2896.75,2896.75,
452,2841.92,7867.82,7867.82,
453,2488.58,7514.48,7514.48,
454,2042.34,7068.24,7068.24,
455,1590.01,5750.21,5750.21,
456,1125.5,1125.5,1125.5,
457,965.582,965.582,965.582,
458,916.846,916.846,916.846,
459,904.662,904.662,904.662,
460,901.616,901.616,901.616,
461,997.565,997.565,997.565,
462,1360.04,1360.04,1360.04,
463,1839.78,1839.78,1839.78,
464,1702.71,1702.71,1702.71,
465,1372.22,740.643,740.643,
466,1361.56,-1734.7,-1734.7,
467,1328.06,-2484.39,-2484.39,
468,1265.61,-2865.14,-2865.14,
469,1253.43,-2754.35,-2754.35,
470,1232.11,-2254.8,-2254.8,
471,1291.5,-1334.53,-1334.53,
472,1498.63,-6.092,-6.092,
473,1992.08,0,0,
474,2581.49,2581.49,2581.49,
475,2896.75,2896.75,2896.75,
476,2841.92,7867.82,7867.82,
477,2484.01,7509.91,7509.91,
478,2034.73,7060.63,7060.63,
479,1577.83,5738.02,5738.02,
480,1104.17,1104.17,1104.17,
481,956.444,956.444,956.444,
482,901.616,901.616,901.616,
483,894.001,894.001,894.001,
484,892.478,892.478,892.478,
485,977.766,977.766,977.766,
486,1326.53,1326.53,1326.53,
487,1795.62,1795.62,1795.62,
488,1646.36,1646.36,1646.36,
489,1308.26,441.501,441.501,
490,1285.41,-1875.96,-1875.96,
491,1244.29,-2640.5,-2640.5,
492,1192.51,-2887.61,-2887.61,
493,1186.42,-2857.53,-2857.53,
494,1175.76,-2347.32,-2347.32,
495,1230.58,-1431.62,-1431.62,
496,1443.8,-118.794,-118.794,
497,1937.26,0,0,
498,2528.18,2528.18,2528.18,
499,2843.44,2843.44,2843.44,
500,2787.09,7812.99,7812.99,
501,2430.71,7456.61,7456.61,
502,1972.28,6998.18,6998.18,
503,1529.09,5689.29,5689.29,
504,1081.33,1081.33,1081.33,
505,924.461,924.461,924.461,
506,880.294,880.294,880.294,
507,869.633,869.633,869.633,
508,860.495,860.495,860.495,
509,956.444,956.444,956.444,
510,1305.21,1305.21,1305.21,
511,1775.82,1775.82,1775.82,
512,1631.13,1631.13,1631.13,
513,1286.93,327.91,327.91,
514,1259.52,-1938.02,-1938.02,
515,1232.11,-2732.26,-2732.26,
516,1192.51,-3046.76,-3046.76,
517,1186.42,-2893.7,-2893.7,
518,1175.76,-2253.28,-2253.28,
519,1230.58,-1475.03,-1475.03,
520,1443.8,-97.0912,-97.0912,
521,1937.26,0,0,
522,2528.18,2528.18,2528.18,
523,2843.44,2843.44,2843.44,
524,2787.09,7812.99,7812.99,
525,2430.71,7456.61,7456.61,
526,1972.28,6998.18,6998.18,
527,1513.86,5674.06,5674.06,
528,1040.21,1040.21,1040.21,
529,881.817,881.817,881.817,
530,828.512,828.512,828.512,
531,820.897,820.897,820.897,
532,808.713,808.713,808.713,
533,895.524,895.524,895.524,
534,1227.54,1227.54,1227.54,
535,1711.85,1711.85,1711.85,
536,1590.01,1590.01,1590.01,
537,1273.23,1044.06,1044.06,
538,1280.84,-853.261,-853.261,
539,1271.7,-1028.79,-1028.79,
540,1215.35,-1027.26,-1027.26,
541,1186.42,-2937.11,-2937.11,
542,1175.76,-2383.49,-2383.49,
543,1230.58,-1366.51,-1366.51,
544,1443.8,-154.965,-154.965,
545,1937.26,0,0,
546,2528.18,2528.18,2528.18,
547,2843.44,2843.44,2843.44,
548,2790.14,7816.04,7816.04,
549,2444.41,7470.31,7470.31,
550,2007.31,7033.21,7033.21,
551,1564.12,5724.32,5724.32,
552,1108.74,1108.74,1108.74,
553,951.875,951.875,951.875,
554,907.708,907.708,907.708,
555,895.524,895.524,895.524,
556,880.294,880.294,880.294,
557,973.197,973.197,973.197,
558,1326.53,1326.53,1326.53,
559,1786.48,1786.48,1786.48,
560,1631.13,1631.13,1631.13,
561,1293.03,266.483,266.483,
562,1277.8,-1818.46,-1818.46,
563,1245.81,-2682.38,-2682.38,
564,1192.51,-3010.59,-3010.59,
565,1186.42,-2893.7,-2893.7,
566,1175.76,-2246.04,-2246.04,
567,1230.58,-1409.92,-1409.92,
568,1443.8,-212.839,-212.839,
569,1937.26,-3.38174e-013,-3.38174e-013,
570,2528.18,2528.18,2528.18,
571,2843.44,2843.44,2843.44,
572,2787.09,7812.99,7812.99,
573,2430.71,7456.61,7456.61,
574,1985.99,7011.89,7011.89,
575,1538.23,5698.42,5698.42,
576,1082.85,1082.85,1082.85,
577,938.168,938.168,938.168,
578,877.248,877.248,877.248,
579,865.064,865.064,865.064,
580,857.449,857.449,857.449,
581,954.921,954.921,954.921,
582,1283.89,1283.89,1283.89,
583,1749.93,1749.93,1749.93,
584,1597.63,1597.63,1597.63,
585,1258,63.4583,63.4583,
586,1232.11,-2001.6,-2001.6,
587,1232.11,-2580.34,-2580.34,
588,1192.51,-3010.59,-3010.59,
589,1186.42,-2973.28,-2973.28,
590,1175.76,-2325.62,-2325.62,
591,1230.58,-1344.81,-1344.81,
592,1443.8,-191.136,-191.136,
593,1937.26,0,0,
594,2528.18,2528.18,2528.18,
595,2843.44,2843.44,2843.44,
596,2787.09,7812.99,7812.99,
597,2430.71,7456.61,7456.61,
598,1972.28,6998.18,6998.18,
599,1513.86,5674.06,5674.06,
600,1053.92,1053.92,1053.92,
601,890.955,890.955,890.955,
602,845.265,845.265,845.265,
603,842.219,842.219,842.219,
604,836.127,836.127,836.127,
605,918.369,918.369,918.369,
606,1264.09,1264.09,1264.09,
607,1749.93,1749.93,1749.93,
608,1625.04,1625.04,1625.04,
609,1305.21,102.633,102.633,
610,1296.07,-1908.7,-1908.7,
611,1312.83,-2543.03,-2543.03,
612,1265.61,-2937.49,-2937.49,
613,1253.43,-2443.27,-2443.27,
614,1232.11,-2319.91,-2319.91,
615,1291.5,-1486.45,-1486.45,
616,1498.63,-35.029,-35.029,
617,1992.08,0,0,
618,2581.49,2581.49,2581.49,
619,2896.75,2896.75,2896.75,
620,2841.92,7867.82,7867.82,
621,2484.01,7509.91,7509.91,
622,2016.45,7042.35,7042.35,
623,1538.23,5698.42,5698.42,
624,1044.78,1044.78,1044.78,
625,868.11,868.11,868.11,
626,795.006,795.006,795.006,
627,787.391,787.391,787.391,
628,785.868,785.868,785.868,
629,875.725,875.725,875.725,
630,1226.02,1226.02,1226.02,
631,1730.13,1730.13,1730.13,
632,1615.9,1615.9,1615.9,
633,1325.01,1325.01,1325.01,
634,1325.01,-757.1,-757.1,
635,1312.83,-944.26,-944.26,
636,1265.61,-2460.03,-2460.03,
637,1253.43,-1242.39,-1242.39,
638,1232.11,-829.654,-829.654,
639,1291.5,0,0,
640,1498.63,0,0,
641,1992.08,0,0,
642,2581.49,2581.49,2581.49,
643,2896.75,2896.75,2896.75,
644,2841.92,7867.82,7867.82,
645,2484.01,7509.91,7509.91,
646,2016.45,7042.35,7042.35,
647,1538.23,5698.42,5698.42,
648,1035.64,1035.64,1035.64,
649,871.156,871.156,871.156,
650,813.282,813.282,813.282,
651,802.621,802.621,802.621,
652,795.006,795.006,795.006,
653,878.771,878.771,878.771,
654,1210.79,1210.79,1210.79,
655,1693.58,1693.58,1693.58,
656,1567.17,1567.17,1567.17,
657,1268.66,1268.66,1268.66,
658,1271.7,1271.7,1271.7,
659,1251.91,570.702,570.702,
660,1192.51,-1636.08,-1636.08,
661,1186.42,-434.055,-434.055,
662,1175.76,-1016.22,-1016.22,
663,1230.58,-252.437,-252.437,
664,1443.8,0,0,
665,1937.26,0,0,
666,2528.18,2528.18,2528.18,
667,2843.44,2843.44,2843.44,
668,2787.09,7812.99,7812.99,
669,2430.71,7456.61,7456.61,
670,1972.28,6998.18,6998.18,
671,1530.61,5690.81,5690.81,
672,1073.71,1073.71,1073.71,
673,913.8,913.8,913.8,
674,854.403,854.403,854.403,
675,843.742,843.742,843.742,
676,826.989,826.989,826.989,
677,910.754,910.754,910.754,
678,1241.24,1241.24,1241.24,
679,1717.94,1717.94,1717.94,
680,1596.1,1596.1,1596.1,
681,1299.12,1299.12,1299.12,
682,1305.21,899.035,899.035,
683,1271.7,-1882.43,-1882.43,
684,1197.08,-2998.79,-2998.79,
685,1186.42,-3132.43,-3132.43,
686,1175.76,-2311.15,-2311.15,
687,1230.58,-1626.94,-1626.94,
688,1443.8,-335.821,-335.821,
689,1937.26,0,0,
690,2528.18,2528.18,2528.18,
691,2843.44,2843.44,2843.44,
692,2787.09,7812.99,7812.99,
693,2430.71,7456.61,7456.61,
694,1981.42,7007.32,7007.32,
695,1538.23,5698.42,5698.42,
696,1072.19,1072.19,1072.19,
697,921.415,921.415,921.415,
698,858.972,858.972,858.972,
699,860.495,860.495,860.495,
700,852.88,852.88,852.88,
701,938.168,938.168,938.168,
702,1279.32,1279.32,1279.32,
703,1757.54,1757.54,1757.54,
704,1638.75,1638.75,1638.75,
705,1350.9,1350.9,1350.9,
706,1367.65,981.743,981.743,
707,1355.47,610.342,610.342,
708,1297.6,-1053.54,-1053.54,
709,1244.29,-2900.93,-2900.93,
710,1200.12,-2373.6,-2373.6,
711,1250.38,-1390.12,-1390.12,
712,1459.03,-443.574,-443.574,
713,1992.08,0,0,
714,2560.16,2560.16,2560.16,
715,2879.99,2879.99,2879.99,
716,2832.78,7858.68,7858.68,
717,2493.15,7519.05,7519.05,
718,2054.53,7080.43,7080.43,
719,1611.33,5771.53,5771.53,
720,1159,1159,1159,
721,1000.61,1000.61,1000.61,
722,944.26,944.26,944.26,
723,939.691,939.691,939.691,
724,927.507,927.507,927.507,
725,1012.8,1012.8,1012.8,
726,1360.04,1360.04,1360.04,
727,1821.51,1821.51,1821.51,
728,1667.68,1667.68,1667.68,
729,1326.53,-109.318,-109.318,
730,1320.44,-2065.19,-2065.19,
731,1277.8,-2838.49,-2838.49,
732,1207.74,-3183.45,-3183.45,
733,1186.42,-3045.62,-3045.62,
734,1175.76,-2528.18,-2528.18,
735,1230.58,-1757.16,-1757.16,
736,1443.8,-364.759,-364.759,
737,1944.87,0,0,
738,2528.18,2528.18,2528.18,
739,2849.53,2849.53,2849.53,
740,2808.41,7834.31,7834.31,
741,2461.17,7487.07,7487.07,
742,2017.97,7043.88,7043.88,
743,1571.74,5731.93,5731.93,
744,1104.17,1104.17,1104.17,
745,936.645,936.645,936.645,
746,866.587,866.587,866.587,
747,842.219,842.219,842.219,
748,823.943,823.943,823.943,
749,897.047,897.047,897.047,
750,1201.65,1201.65,1201.65,
751,1631.13,1631.13,1631.13,
752,1472.74,1472.74,1472.74,
753,1178.8,-128.651,-128.651,
754,1177.28,-1991.32,-1991.32,
755,1192.51,-2663.35,-2663.35,
756,1152.91,-2905.5,-2905.5,
757,1146.82,-2730.74,-2730.74,
758,1133.11,-2064.43,-2064.43,
759,1177.28,-1065.34,-1065.34,
760,1349.38,0,0,
761,1756.02,0,0,
762,2276.89,2276.89,2276.89,
763,2619.56,2619.56,2619.56,
764,2650.02,7675.92,7675.92,
765,2436.8,7462.7,7462.7,
766,1978.38,7004.28,7004.28,
767,1518.43,5678.63,5678.63,
768,1047.82,1047.82,1047.82,
769,871.156,871.156,871.156,
770,801.098,801.098,801.098,
771,795.006,795.006,795.006,
772,785.868,785.868,785.868,
773,875.725,875.725,875.725,
774,1201.65,1201.65,1201.65,
775,1652.45,1652.45,1652.45,
776,1509.29,1509.29,1509.29,
777,1244.29,-191.602,-191.602,
778,1256.47,-2035.11,-2035.11,
779,1273.23,-2756.25,-2756.25,
780,1226.02,-3107.3,-3107.3,
781,1212.31,-2940.15,-2940.15,
782,1190.99,-2621.46,-2621.46,
783,1238.2,-1329.96,-1329.96,
784,1404.21,-78.8152,-78.8152,
785,1810.85,0,0,
786,2330.19,2330.19,2330.19,
787,2672.86,2672.86,2672.86,
788,2704.85,7730.75,7730.75,
789,2491.63,7517.53,7517.53,
790,2022.54,7048.44,7048.44,
791,1542.8,5702.99,5702.99,
792,1047.82,1047.82,1047.82,
793,871.156,871.156,871.156,
