Time step,Total load requested [kW],Total load served [kW],SolarResource global horizontal radiation [W/m2],SolarResource direct horizontal radiation [W/m2],SolarResource diffuse horizontal radiation [W/m2],SolarResource clearness index [-],SolarPV incident radiation [kW/m2],SolarPV power output [kW],Converter input [kW],Converter output [kW],Battery output power [kW],Battery max charge power [kW],Battery charge power [kW],Battery max discharge power [kW],Battery discharge power [kW],Battery capacity as energy [kWh],Battery capacity as fraction [%],ElectricVehicle charge power [kW],ElectricVehicle capacity as energy [kWh],ElectricVehicle capacity as fraction [%],
0,13660,13660,0,0,0,0,0,0,0,0,0,0,0,165795,0,220000,100,0,500000,100,
1,11700,11700,0,0,0,0,0,0,0,0,0,0,0,165795,0,220000,100,0,500000,100,
2,10980,10980,0,0,0,0,0,0,0,0,0,0,0,165795,0,220000,100,0,500000,100,
3,10860,10860,0,0,0,0,0,0,0,0,0,0,0,165795,0,220000,100,0,500000,100,
4,10800,10800,0,0,0,0,0,0,0,0,0,0,0,165795,0,220000,100,0,0,0,
5,12000,12000,0,0,0,0,0,0,0,0,0,0,0,165795,0,220000,100,0,0,0,
6,16560,16560,0,0,0,0,0,0,0,0,0,0,0,165795,0,220000,100,0,0,0,
7,22740,22740,0,0,0,0,0,0,0,0,0,0,0,165795,0,220000,100,0,0,0,
8,20860,20860,107,1.32628,105.674,0.137724,107,14980,14980,14380.8,0,0,0,165795,0,220000,100,0,0,0,
9,16400,16400,271,8.80264,262.197,0.266016,271,37940,37940,36422.4,0,0,0,165795,0,220000,100,0,0,0,
10,16100,16100,391,28.9298,362.07,0.328245,391,54740,54740,52550.4,0,0,0,165795,0,220000,100,0,0,0,
11,16180,16180,483,61.5862,421.414,0.376605,483,67620,67620,64915.2,0,0,0,165795,0,220000,100,0,0,0,
12,15660,15660,526,91.2103,434.79,0.408863,526,73640,73640,70694.4,0,0,0,165795,0,220000,100,0,0,0,
13,15580,15580,497,89.5296,407.47,0.413183,497,69580,69580,66796.8,0,0,0,165795,0,220000,100,0,0,0,
14,15440,15440,437,84.4029,352.597,0.42129,437,61180,61180,58732.8,0,0,0,165795,0,220000,100,0,0,0,
15,16160,16160,203,5.61216,197.388,0.25341,203,28420,28420,27283.2,0,0,0,165795,0,220000,100,0,0,0,
16,18960,18960,169,12.9641,156.036,0.331189,169,23660,23660,22713.6,0,0,0,165795,0,220000,100,0,0,0,
17,25440,25440,0,0,0,0,0,0,26500,25440,26500,0,0,165795,26500,192220,87.3729,0,0,0,
18,33200,33200,0,0,0,0,0,0,0,0,0,29120.9,0,139295,0,192220,87.3729,0,0,0,
19,37340,37340,0,0,0,0,0,0,0,0,0,29120.9,0,139295,0,192220,87.3729,0,255000,51,
20,36600,36600,0,0,0,0,0,0,0,0,0,29120.9,0,139295,0,192220,87.3729,66000,318360,63.672,
21,31920,31920,0,0,0,0,0,0,0,0,0,29120.9,0,139295,0,192220,87.3729,66000,381720,76.344,
22,25900,25900,0,0,0,0,0,0,0,0,0,29120.9,0,139295,0,192220,87.3729,66000,445080,89.016,
23,19880,19880,0,0,0,0,0,0,0,0,0,29120.9,0,139295,0,192220,87.3729,57208.3,500000,100,
24,13580,13580,0,0,0,0,0,0,0,0,0,29120.9,0,139295,0,192220,87.3729,0,500000,100,
25,11380,11380,0,0,0,0,0,0,0,0,0,29120.9,0,139295,0,192220,87.3729,0,500000,100,
26,10660,10660,0,0,0,0,0,0,0,0,0,29120.9,0,139295,0,192220,87.3729,0,500000,100,
27,10480,10480,0,0,0,0,0,0,0,0,0,29120.9,0,139295,0,192220,87.3729,0,500000,100,
28,10420,10420,0,0,0,0,0,0,0,0,0,29120.9,0,139295,0,192220,87.3729,0,0,0,
29,11560,11560,0,0,0,0,0,0,0,0,0,29120.9,0,139295,0,192220,87.3729,0,0,0,
30,15760,15760,0,0,0,0,0,0,0,0,0,29120.9,0,139295,0,192220,87.3729,0,0,0,
31,22160,22160,0,0,0,0,0,0,0,0,0,29120.9,0,139295,0,192220,87.3729,0,0,0,
32,20500,20500,52,0.313885,51.6861,0.0670694,52,7280,0,0,-7280,29120.9,7280,139295,0,199165,90.5296,0,0,0,
33,16220,16220,242,5.61232,236.388,0.237782,242,33880,12039.1,11557.6,-21840.9,21840.9,21840.9,145919,0,220000,100,0,0,0,
34,16000,16000,352,17.0529,334.947,0.295586,352,49280,49280,47308.8,0,0,0,165795,0,220000,100,0,0,0,
35,16180,16180,411,27.5601,383.44,0.320375,411,57540,57540,55238.4,0,0,0,165795,0,220000,100,0,0,0,
36,15660,15660,263,4.83503,258.165,0.204268,263,36820,36820,35347.2,0,0,0,165795,0,220000,100,0,0,0,
37,15580,15580,263,5.16837,257.832,0.218351,263,36820,36820,35347.2,0,0,0,165795,0,220000,100,0,0,0,
38,15440,15440,250,5.96327,244.037,0.240523,250,35000,35000,33600,0,0,0,165795,0,220000,100,0,0,0,
39,16160,16160,116,1.50716,114.493,0.144364,116,16240,16833.3,16160,593.333,0,0,165795,593.333,219378,99.7173,0,0,0,
40,18960,18960,166,11.5996,154.4,0.323646,166,23240,22588,21684.5,-652.015,652.015,652.015,165201,0,220000,100,0,0,0,
41,25440,25440,0,0,0,0,0,0,26500,25440,26500,0,0,165795,26500,192220,87.3729,0,0,0,
42,33200,33200,0,0,0,0,0,0,0,0,0,29120.9,0,139295,0,192220,87.3729,0,0,0,
43,37340,37340,0,0,0,0,0,0,0,0,0,29120.9,0,139295,0,192220,87.3729,0,255000,51,
44,36600,36600,0,0,0,0,0,0,0,0,0,29120.9,0,139295,0,192220,87.3729,66000,318360,63.672,
45,31920,31920,0,0,0,0,0,0,0,0,0,29120.9,0,139295,0,192220,87.3729,66000,381720,76.344,
46,25920,25920,0,0,0,0,0,0,0,0,0,29120.9,0,139295,0,192220,87.3729,66000,445080,89.016,
47,20060,20060,0,0,0,0,0,0,0,0,0,29120.9,0,139295,0,192220,87.3729,57208.3,500000,100,
48,13980,13980,0,0,0,0,0,0,0,0,0,29120.9,0,139295,0,192220,87.3729,0,500000,100,
49,11940,11940,0,0,0,0,0,0,0,0,0,29120.9,0,139295,0,192220,87.3729,0,500000,100,
50,11160,11160,0,0,0,0,0,0,0,0,0,29120.9,0,139295,0,192220,87.3729,0,500000,100,
51,10960,10960,0,0,0,0,0,0,0,0,0,29120.9,0,139295,0,192220,87.3729,0,500000,100,
52,10860,10860,0,0,0,0,0,0,0,0,0,29120.9,0,139295,0,192220,87.3729,0,0,0,
53,11940,11940,0,0,0,0,0,0,0,0,0,29120.9,0,139295,0,192220,87.3729,0,0,0,
54,16320,16320,0,0,0,0,0,0,0,0,0,29120.9,0,139295,0,192220,87.3729,0,0,0,
55,22520,22520,0,0,0,0,0,0,0,0,0,29120.9,0,139295,0,192220,87.3729,0,0,0,
56,20740,20740,84,0.820722,83.1793,0.108561,84,11760,0,0,-11760,29120.9,11760,139295,0,203439,92.4722,0,0,0,
57,16260,16260,284,11.0309,272.969,0.279312,284,39760,22399.1,21503.2,-17360.9,17360.9,17360.9,149996,0,220000,100,0,0,0,
58,16080,16080,371,22.2312,348.769,0.311615,371,51940,51940,49862.4,0,0,0,165795,0,220000,100,0,0,0,
59,16260,16260,175,2.14781,172.852,0.136369,175,24500,24500,23520,0,0,0,165795,0,220000,100,0,0,0,
60,15660,15660,219,3.34976,215.65,0.169953,219,30660,30660,29433.6,0,0,0,165795,0,220000,100,0,0,0,
61,15580,15580,245,4.47895,240.521,0.203127,245,34300,34300,32928,0,0,0,165795,0,220000,100,0,0,0,
62,15440,15440,205,3.63141,201.369,0.196824,205,28700,28700,27552,0,0,0,165795,0,220000,100,0,0,0,
63,16160,16160,147,2.41295,144.587,0.182385,147,20580,20580,19756.8,0,0,0,165795,0,220000,100,0,0,0,
64,18960,18960,177,15.696,161.304,0.343336,177,24780,24780,23788.8,0,0,0,165795,0,220000,100,0,0,0,
65,25440,25440,1,0.000473822,0.999526,0.00526469,1,140,26500,25440,26360,0,0,165795,26360,192367,87.4396,0,0,0,
66,33200,33200,0,0,0,0,0,0,0,0,0,28967,0,139435,0,192367,87.4396,0,0,0,
67,37340,37340,0,0,0,0,0,0,0,0,0,28967,0,139435,0,192367,87.4396,0,255000,51,
68,36600,36600,0,0,0,0,0,0,0,0,0,28967,0,139435,0,192367,87.4396,66000,318360,63.672,
69,31920,31920,0,0,0,0,0,0,0,0,0,28967,0,139435,0,192367,87.4396,66000,381720,76.344,
70,25900,25900,0,0,0,0,0,0,0,0,0,28967,0,139435,0,192367,87.4396,66000,445080,89.016,
71,20020,20020,0,0,0,0,0,0,0,0,0,28967,0,139435,0,192367,87.4396,57208.3,500000,100,
72,14020,14020,0,0,0,0,0,0,0,0,0,28967,0,139435,0,192367,87.4396,0,500000,100,
73,11980,11980,0,0,0,0,0,0,0,0,0,28967,0,139435,0,192367,87.4396,0,500000,100,
74,11260,11260,0,0,0,0,0,0,0,0,0,28967,0,139435,0,192367,87.4396,0,500000,100,
75,11180,11180,0,0,0,0,0,0,0,0,0,28967,0,139435,0,192367,87.4396,0,500000,100,
76,11120,11120,0,0,0,0,0,0,0,0,0,28967,0,139435,0,192367,87.4396,0,0,0,
77,12240,12240,0,0,0,0,0,0,0,0,0,28967,0,139435,0,192367,87.4396,0,0,0,
78,16740,16740,0,0,0,0,0,0,0,0,0,28967,0,139435,0,192367,87.4396,0,0,0,
79,22920,22920,0,0,0,0,0,0,0,0,0,28967,0,139435,0,192367,87.4396,0,0,0,
80,20940,20940,106,1.30948,104.691,0.137262,106,14840,0,0,-14840,28967,14840,139435,0,206524,93.8744,0,0,0,
81,16560,16560,271,8.89015,262.11,0.266763,271,37940,23813,22860.4,-14127,14127,14127,152939,0,220000,100,0,0,0,
82,16400,16400,400,32.5381,367.462,0.336038,400,56000,56000,53760,0,0,0,165795,0,220000,100,0,0,0,
83,16180,16180,488,64.4879,423.512,0.380139,488,68320,68320,65587.2,0,0,0,165795,0,220000,100,0,0,0,
84,15660,15660,525,89.5886,435.411,0.407069,525,73500,73500,70560,0,0,0,165795,0,220000,100,0,0,0,
85,15580,15580,491,83.3687,407.631,0.406512,491,68740,68740,65990.4,0,0,0,165795,0,220000,100,0,0,0,
