Time step,Total load,Net load,Solar PV,Inverter AC,Battery,Electric vehicle,
0,13660,13660,0,0,0,0,
1,11700,11700,0,0,0,0,
2,10980,10980,0,0,0,0,
3,10860,10860,0,0,0,0,
4,10800,10800,0,0,0,0,
5,12000,12000,0,0,0,0,
6,16560,16560,0,0,0,0,
7,22740,22740,0,0,0,0,
8,20860,6479.2,14980,14380.8,0,0,
9,16400,-20022.4,37940,36422.4,0,0,
10,16100,-36450.4,54740,52550.4,0,0,
11,16180,-48735.2,67620,64915.2,0,0,
12,15660,-55034.4,73640,70694.4,0,0,
13,15580,-51216.8,69580,66796.8,0,0,
14,15440,-43292.8,61180,58732.8,0,0,
15,16160,-11123.2,28420,27283.2,0,0,
16,18960,-3753.6,23660,22713.6,0,0,
17,25440,0,0,25440,26500,0,
18,33200,33200,0,0,0,0,
19,37340,37340,0,0,0,0,
20,36600,102600,0,0,0,66000,
21,31920,97920,0,0,0,66000,
22,25900,91900,0,0,0,66000,
23,19880,77088.3,0,0,0,57208.3,
24,13580,13580,0,0,0,0,
25,11380,11380,0,0,0,0,
26,10660,10660,0,0,0,0,
27,10480,10480,0,0,0,0,
28,10420,10420,0,0,0,0,
29,11560,11560,0,0,0,0,
30,15760,15760,0,0,0,0,
31,22160,22160,0,0,0,0,
32,20500,20500,7280,0,-7280,0,
33,16220,4662.44,33880,11557.6,-21840.9,0,
34,16000,-31308.8,49280,47308.8,0,0,
35,16180,-39058.4,57540,55238.4,0,0,
36,15660,-19687.2,36820,35347.2,0,0,
37,15580,-19767.2,36820,35347.2,0,0,
38,15440,-18160,35000,33600,0,0,
39,16160,0,16240,16160,593.333,0,
40,18960,-2724.47,23240,21684.5,-652.015,0,
41,25440,0,0,25440,26500,0,
42,33200,33200,0,0,0,0,
43,37340,37340,0,0,0,0,
44,36600,102600,0,0,0,66000,
45,31920,97920,0,0,0,66000,
46,25920,91920,0,0,0,66000,
47,20060,77268.3,0,0,0,57208.3,
48,13980,13980,0,0,0,0,
49,11940,11940,0,0,0,0,
50,11160,11160,0,0,0,0,
51,10960,10960,0,0,0,0,
52,10860,10860,0,0,0,0,
53,11940,11940,0,0,0,0,
54,16320,16320,0,0,0,0,
55,22520,22520,0,0,0,0,
56,20740,20740,11760,0,-11760,0,
57,16260,-5243.16,39760,21503.2,-17360.9,0,
58,16080,-33782.4,51940,49862.4,0,0,
59,16260,-7260,24500,23520,0,0,
60,15660,-13773.6,30660,29433.6,0,0,
61,15580,-17348,34300,32928,0,0,
