Time step,Total load requested [kW],Total load served [kW],SolarResource global horizontal radiation [W/m2],SolarResource direct horizontal radiation [W/m2],SolarResource diffuse horizontal radiation [W/m2],SolarResource clearness index [-],SolarPV incident radiation [kW/m2],SolarPV power output [kW],Converter input [kW],Converter output [kW],Battery output power [kW],Battery max charge power [kW],Battery charge power [kW],Battery max discharge power [kW],Battery discharge power [kW],Battery capacity as energy [kWh],Battery capacity as fraction [%],ElectricVehicle charge power [kW],ElectricVehicle capacity as energy [kWh],ElectricVehicle capacity as fraction [%],
0,1040.21,1040.21,0,0,0,0,0,0,0,0,0,0,0,11558.8,0,15230,100,0,36552,100,
1,890.955,890.955,0,0,0,0,0,0,0,0,0,0,0,11558.8,0,15230,100,0,36552,100,
2,836.127,836.127,0,0,0,0,0,0,0,0,0,0,0,11558.8,0,15230,100,0,36552,100,
3,826.989,826.989,0,0,0,0,0,0,0,0,0,0,0,11558.8,0,15230,100,0,36552,100,
4,822.42,822.42,0,0,0,0,0,0,0,0,0,0,0,11558.8,0,15230,100,0,0,0,
5,913.8,913.8,0,0,0,0,0,0,0,0,0,0,0,11558.8,0,15230,100,0,0,0,
6,1261.04,1261.04,0,0,0,0,0,0,0,0,0,0,0,11558.8,0,15230,100,0,0,0,
7,1731.65,1731.65,0,0,0,0,0,0,0,0,0,0,0,11558.8,0,15230,100,0,0,0,
8,1588.49,1588.49,107,1.32628,105.674,0.137724,107,814.805,814.805,774.065,0,0,0,11558.8,0,15230,100,0,0,0,
9,1248.86,1248.86,271,8.80264,262.197,0.266016,271,2063.66,2063.66,1960.48,0,0,0,11558.8,0,15230,100,0,0,0,
10,1226.02,1226.02,391,28.9298,362.07,0.328245,391,2977.47,2977.47,2828.59,0,0,0,11558.8,0,15230,100,0,0,0,
11,1232.11,1232.11,483,61.5862,421.414,0.376605,483,3678.05,3678.05,3494.14,0,0,0,11558.8,0,15230,100,0,0,0,
12,1192.51,1192.51,526,91.2103,434.79,0.408863,526,4005.49,4005.49,3805.22,0,0,0,11558.8,0,15230,100,0,0,0,
13,1186.42,1186.42,497,89.5296,407.47,0.413183,497,3784.65,3784.65,3595.42,0,0,0,11558.8,0,15230,100,0,0,0,
14,1175.76,1175.76,437,84.4029,352.597,0.42129,437,3327.76,3327.76,3161.37,0,0,0,11558.8,0,15230,100,0,0,0,
15,1230.58,1230.58,203,5.61216,197.388,0.25341,203,1545.84,1545.84,1468.55,0,0,0,11558.8,0,15230,100,0,0,0,
16,1443.8,1443.8,169,12.9641,156.036,0.331189,169,1286.93,1519.79,1443.8,232.859,0,0,11558.8,232.859,14984.5,98.3883,0,0,0,
17,1937.26,1937.26,0,0,0,0,0,0,2039.22,1937.26,2039.22,258.732,0,11325.9,2039.22,12835,84.2746,0,0,0,
18,2528.18,2528.18,0,0,0,0,0,0,0,0,0,2524.53,0,9286.68,0,12835,84.2746,0,0,0,
19,2843.44,2843.44,0,0,0,0,0,0,0,0,0,2524.53,0,9286.68,0,12835,84.2746,0,18276,50,
20,2787.09,2787.09,0,0,0,0,0,0,0,0,0,2524.53,0,9286.68,0,12835,84.2746,5025.9,23050.6,63.0625,
21,2430.71,2430.71,0,0,0,0,0,0,0,0,0,2524.53,0,9286.68,0,12835,84.2746,5025.9,27825.2,76.125,
22,1972.28,1972.28,0,0,0,0,0,0,0,0,0,2524.53,0,9286.68,0,12835,84.2746,5025.9,32599.8,89.1875,
23,1513.86,1513.86,0,0,0,0,0,0,0,0,0,2524.53,0,9286.68,0,12835,84.2746,4160.19,36552,100,
24,1034.12,1034.12,0,0,0,0,0,0,0,0,0,2524.53,0,9286.68,0,12835,84.2746,0,36552,100,
25,866.587,866.587,0,0,0,0,0,0,0,0,0,2524.53,0,9286.68,0,12835,84.2746,0,36552,100,
26,811.759,811.759,0,0,0,0,0,0,0,0,0,2524.53,0,9286.68,0,12835,84.2746,0,36552,100,
27,798.052,798.052,0,0,0,0,0,0,0,0,0,2524.53,0,9286.68,0,12835,84.2746,0,36552,100,
28,793.483,793.483,0,0,0,0,0,0,0,0,0,2524.53,0,9286.68,0,12835,84.2746,0,0,0,
29,880.294,880.294,0,0,0,0,0,0,0,0,0,2524.53,0,9286.68,0,12835,84.2746,0,0,0,
30,1200.12,1200.12,0,0,0,0,0,0,0,0,0,2524.53,0,9286.68,0,12835,84.2746,0,0,0,
31,1687.48,1687.48,0,0,0,0,0,0,0,0,0,2524.53,0,9286.68,0,12835,84.2746,0,0,0,
32,1561.07,1561.07,52,0.313885,51.6861,0.0670694,52,395.98,0,0,-395.98,2524.53,395.98,9286.68,0,13210.7,86.7412,0,0,0,
33,1235.15,1235.15,242,5.61232,236.388,0.237782,242,1842.83,0,0,-1842.83,2128.55,1842.83,9643.06,0,14958.9,98.2202,0,0,0,
