Time step,Load requested [kW],Load served [kW],SolarResource global horizontal radiation [W/m2],SolarResource direct horizontal radiation [W/m2],SolarResource diffuse horizontal radiation [W/m2],SolarResource clearness index [-],SolarPV incident radiation [kW/m2],SolarPV power output [kW],Converter input [kW],Converter output [kW],Battery output power [kW],Battery max charge power [kW],Battery charge power [kW],Battery max discharge power [kW],Battery discharge power [kW],Battery capacity as energy [kWh],Battery capacity as fraction [%],ElectricVehicle charge power [kW],ElectricVehicle capacity as energy [kWh],ElectricVehicle capacity as fraction [%],
0,0.683,0.683,0,0,0,0,0,0,0,0,0,0,0,7.58947,0,10,100,0,24,100,
1,0.585,0.585,0,0,0,0,0,0,0,0,0,0,0,7.58947,0,10,100,0,24,100,
2,0.549,0.549,0,0,0,0,0,0,0,0,0,0,0,7.58947,0,10,100,0,24,100,
3,0.543,0.543,0,0,0,0,0,0,0,0,0,0,0,7.58947,0,10,100,0,24,100,
4,0.54,0.54,0,0,0,0,0,0,0,0,0,0,0,7.58947,0,10,100,0,0,0,
5,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,7.58947,0,10,100,0,0,0,
6,0.828,0.828,0,0,0,0,0,0,0,0,0,0,0,7.58947,0,10,100,0,0,0,
7,1.137,1.137,0,0,0,0,0,0,0,0,0,0,0,7.58947,0,10,100,0,0,0,
8,1.043,1.043,107,0,0,0.8,0,0,0,0,0,0,0,7.58947,0,10,100,0,0,0,
9,0.82,0.82,271,0,0,0.8,0,0,0,0,0,0,0,7.58947,0,10,100,0,0,0,
10,0.805,0.805,391,0,0,0.8,0,0,0,0,0,0,0,7.58947,0,10,100,0,0,0,
11,0.809,0.809,483,0,0,0.8,0,0,0,0,0,0,0,7.58947,0,10,100,0,0,0,
12,0.783,0.783,526,0,0,0.8,0,0,0,0,0,0,0,7.58947,0,10,100,0,0,0,
13,0.779,0.779,497,60.7686,12.0317,0.8,348.013,2.08808,2.08808,1.98367,0,0,0,7.58947,0,10,100,0,0,0,
14,0.772,0.772,437,232.517,46.0365,0.8,509.987,3.05992,3.05992,2.90692,0,0,0,7.58947,0,10,100,0,0,0,
15,0.808,0.808,203,21.0847,181.915,0.357269,209.159,1.25495,1.25495,1.19221,0,0,0,7.58947,0,10,100,0,0,0,
16,0.948,0.948,169,3.68748,165.313,0.231286,168.952,1.01371,1.01371,0.963027,0,0,0,7.58947,0,10,100,0,0,0,
17,1.272,1.272,0,0,0,0,0,0,1.33895,1.272,1.33895,0,0,7.58947,1.33895,8.58863,85.8863,0,0,0,
18,1.66,1.66,0,0,0,0,0,0,0,0,0,1.48772,0,6.25052,0,8.58863,85.8863,0,0,0,
19,1.867,1.867,0,0,0,0,0,0,0,0,0,1.48772,0,6.25052,0,8.58863,85.8863,0,12,50,
20,1.83,1.83,0,0,0,0,0,0,0,0,0,1.48772,0,6.25052,0,8.58863,85.8863,3.3,15.135,63.0625,
21,1.596,1.596,0,0,0,0,0,0,0,0,0,1.48772,0,6.25052,0,8.58863,85.8863,3.3,18.27,76.125,
22,1.295,1.295,0,0,0,0,0,0,0,0,0,1.48772,0,6.25052,0,8.58863,85.8863,3.3,21.405,89.1875,
23,0.994,0.994,0,0,0,0,0,0,0,0,0,1.48772,0,6.25052,0,8.58863,85.8863,2.73158,24,100,
24,0.679,0.679,0,0,0,0,0,0,0,0,0,1.48772,0,6.25052,0,8.58863,85.8863,0,24,100,
25,0.569,0.569,0,0,0,0,0,0,0,0,0,1.48772,0,6.25052,0,8.58863,85.8863,0,24,100,
26,0.533,0.533,0,0,0,0,0,0,0,0,0,1.48772,0,6.25052,0,8.58863,85.8863,0,24,100,
27,0.524,0.524,0,0,0,0,0,0,0,0,0,1.48772,0,6.25052,0,8.58863,85.8863,0,24,100,
28,0.521,0.521,0,0,0,0,0,0,0,0,0,1.48772,0,6.25052,0,8.58863,85.8863,0,0,0,
29,0.578,0.578,0,0,0,0,0,0,0,0,0,1.48772,0,6.25052,0,8.58863,85.8863,0,0,0,
30,0.788,0.788,0,0,0,0,0,0,0,0,0,1.48772,0,6.25052,0,8.58863,85.8863,0,0,0,
31,1.108,1.108,0,0,0,0,0,0,0,0,0,1.48772,0,6.25052,0,8.58863,85.8863,0,0,0,
32,1.025,1.025,52,0,0,0.8,0,0,0,0,0,1.48772,0,6.25052,0,8.58863,85.8863,0,0,0,
33,0.811,0.811,242,0,0,0.8,0,0,0,0,0,1.48772,0,6.25052,0,8.58863,85.8863,0,0,0,
34,0.8,0.8,352,0,0,0.8,0,0,0,0,0,1.48772,0,6.25052,0,8.58863,85.8863,0,0,0,
35,0.809,0.809,411,0,0,0.8,0,0,0,0,0,1.48772,0,6.25052,0,8.58863,85.8863,0,0,0,
36,0.783,0.783,263,0,0,0.8,0,0,0,0,0,1.48772,0,6.25052,0,8.58863,85.8863,0,0,0,
37,0.779,0.779,263,60.2549,11.93,0.8,345.071,2.07043,0.582706,0.553571,-1.48772,1.48772,1.48772,6.25052,0,10,100,0,0,0,
38,0.772,0.772,250,195.884,54.1164,0.719191,448.409,2.69045,2.69045,2.55593,0,0,0,7.58947,0,10,100,0,0,0,
39,0.808,0.808,116,2.13163,113.868,0.204179,116.558,0.699347,0.850526,0.808,0.151179,0,0,7.58947,0.151179,9.84064,98.4064,0,0,0,
40,0.948,0.948,166,3.49702,162.503,0.227023,165.941,0.995647,0.997895,0.948,0.00224796,0.167977,0,7.43829,0.00224796,9.83827,98.3827,0,0,0,
41,1.272,1.272,0,0,0,0,0,0,1.33895,1.272,1.33895,0.170475,0,7.43604,1.33895,8.4269,84.269,0,0,0,
42,1.66,1.66,0,0,0,0,0,0,0,0,0,1.65819,0,6.09709,0,8.4269,84.269,0,0,0,
43,1.867,1.867,0,0,0,0,0,0,0,0,0,1.65819,0,6.09709,0,8.4269,84.269,0,12,50,
44,1.83,1.83,0,0,0,0,0,0,0,0,0,1.65819,0,6.09709,0,8.4269,84.269,3.3,15.135,63.0625,
45,1.596,1.596,0,0,0,0,0,0,0,0,0,1.65819,0,6.09709,0,8.4269,84.269,3.3,18.27,76.125,
46,1.296,1.296,0,0,0,0,0,0,0,0,0,1.65819,0,6.09709,0,8.4269,84.269,3.3,21.405,89.1875,
47,1.003,1.003,0,0,0,0,0,0,0,0,0,1.65819,0,6.09709,0,8.4269,84.269,2.73158,24,100,
48,0.699,0.699,0,0,0,0,0,0,0,0,0,1.65819,0,6.09709,0,8.4269,84.269,0,24,100,
49,0.597,0.597,0,0,0,0,0,0,0,0,0,1.65819,0,6.09709,0,8.4269,84.269,0,24,100,
50,0.558,0.558,0,0,0,0,0,0,0,0,0,1.65819,0,6.09709,0,8.4269,84.269,0,24,100,
51,0.548,0.548,0,0,0,0,0,0,0,0,0,1.65819,0,6.09709,0,8.4269,84.269,0,24,100,
52,0.543,0.543,0,0,0,0,0,0,0,0,0,1.65819,0,6.09709,0,8.4269,84.269,0,0,0,
53,0.597,0.597,0,0,0,0,0,0,0,0,0,1.65819,0,6.09709,0,8.4269,84.269,0,0,0,
54,0.816,0.816,0,0,0,0,0,0,0,0,0,1.65819,0,6.09709,0,8.4269,84.269,0,0,0,
55,1.126,1.126,0,0,0,0,0,0,0,0,0,1.65819,0,6.09709,0,8.4269,84.269,0,0,0,
56,1.037,1.037,84,0,0,0.8,0,0,0,0,0,1.65819,0,6.09709,0,8.4269,84.269,0,0,0,
57,0.813,0.813,284,0,0,0.8,0,0,0,0,0,1.65819,0,6.09709,0,8.4269,84.269,0,0,0,
58,0.804,0.804,371,0,0,0.8,0,0,0,0,0,1.65819,0,6.09709,0,8.4269,84.269,0,0,0,
59,0.813,0.813,175,0,0,0.8,0,0,0,0,0,1.65819,0,6.09709,0,8.4269,84.269,0,0,0,
60,0.783,0.783,219,0,0,0.8,0,0,0,0,0,1.65819,0,6.09709,0,8.4269,84.269,0,0,0,
61,0.779,0.779,245,59.8028,11.8405,0.8,342.482,2.05489,0.396698,0.376864,-1.65819,1.65819,1.65819,6.09709,0,10,100,0,0,0,
62,0.772,0.772,205,110.604,94.3956,0.590523,327.773,1.96664,1.96664,1.86831,0,0,0,7.58947,0,10,100,0,0,0,
63,0.808,0.808,147,4.34309,142.657,0.258721,148.164,0.888984,0.888984,0.844535,0,0,0,7.58947,0,10,100,0,0,0,
64,0.948,0.948,177,4.28232,172.718,0.241859,176.908,1.06145,1.06145,1.00838,0,0,0,7.58947,0,10,100,0,0,0,
65,1.272,1.272,1,0.000108833,0.999891,0.00120925,0.999988,0.00599993,1.33895,1.272,1.33295,0,0,7.58947,1.33295,8.59495,85.9495,0,0,0,
66,1.66,1.66,0,0,0,0,0,0,0,0,0,1.48105,0,6.25652,0,8.59495,85.9495,0,0,0,
67,1.867,1.867,0,0,0,0,0,0,0,0,0,1.48105,0,6.25652,0,8.59495,85.9495,0,12,50,
68,1.83,1.83,0,0,0,0,0,0,0,0,0,1.48105,0,6.25652,0,8.59495,85.9495,3.3,15.135,63.0625,
69,1.596,1.596,0,0,0,0,0,0,0,0,0,1.48105,0,6.25652,0,8.59495,85.9495,3.3,18.27,76.125,
70,1.295,1.295,0,0,0,0,0,0,0,0,0,1.48105,0,6.25652,0,8.59495,85.9495,3.3,21.405,89.1875,
71,1.001,1.001,0,0,0,0,0,0,0,0,0,1.48105,0,6.25652,0,8.59495,85.9495,2.73158,24,100,
72,0.701,0.701,0,0,0,0,0,0,0,0,0,1.48105,0,6.25652,0,8.59495,85.9495,0,24,100,
73,0.599,0.599,0,0,0,0,0,0,0,0,0,1.48105,0,6.25652,0,8.59495,85.9495,0,24,100,
74,0.563,0.563,0,0,0,0,0,0,0,0,0,1.48105,0,6.25652,0,8.59495,85.9495,0,24,100,
75,0.559,0.559,0,0,0,0,0,0,0,0,0,1.48105,0,6.25652,0,8.59495,85.9495,0,24,100,
76,0.556,0.556,0,0,0,0,0,0,0,0,0,1.48105,0,6.25652,0,8.59495,85.9495,0,0,0,
77,0.612,0.612,0,0,0,0,0,0,0,0,0,1.48105,0,6.25652,0,8.59495,85.9495,0,0,0,
78,0.837,0.837,0,0,0,0,0,0,0,0,0,1.48105,0,6.25652,0,8.59495,85.9495,0,0,0,
79,1.146,1.146,0,0,0,0,0,0,0,0,0,1.48105,0,6.25652,0,8.59495,85.9495,0,0,0,
80,1.047,1.047,106,0,0,0.8,0,0,0,0,0,1.48105,0,6.25652,0,8.59495,85.9495,0,0,0,
81,0.828,0.828,271,0,0,0.8,0,0,0,0,0,1.48105,0,6.25652,0,8.59495,85.9495,0,0,0,
82,0.82,0.82,400,0,0,0.8,0,0,0,0,0,1.48105,0,6.25652,0,8.59495,85.9495,0,0,0,
83,0.809,0.809,488,0,0,0.8,0,0,0,0,0,1.48105,0,6.25652,0,8.59495,85.9495,0,0,0,
84,0.783,0.783,525,0,0,0.8,0,0,0,0,0,1.48105,0,6.25652,0,8.59495,85.9495,0,0,0,
85,0.779,0.779,491,59.4124,11.7632,0.8,340.246,2.04148,0.560424,0.532403,-1.48105,1.48105,1.48105,6.25652,0,10,100,0,0,0,
86,0.772,0.772,435,231.591,45.8531,0.8,505.018,3.03011,3.03011,2.8786,0,0,0,7.58947,0,10,100,0,0,0,
87,0.808,0.808,308,132.796,175.204,0.541917,344.474,2.06685,2.06685,1.9635,0,0,0,7.58947,0,10,100,0,0,0,
88,0.948,0.948,174,4.02457,169.975,0.237516,173.895,1.04337,1.04337,0.991199,0,0,0,7.58947,0,10,100,0,0,0,
89,1.272,1.272,1,0.000108655,0.999891,0.00120728,0.999988,0.00599993,1.33895,1.272,1.33295,0,0,7.58947,1.33295,8.59495,85.9495,0,0,0,
90,1.66,1.66,0,0,0,0,0,0,0,0,0,1.48105,0,6.25652,0,8.59495,85.9495,0,0,0,
91,1.867,1.867,0,0,0,0,0,0,0,0,0,1.48105,0,6.25652,0,8.59495,85.9495,0,12,50,
92,1.83,1.83,0,0,0,0,0,0,0,0,0,1.48105,0,6.25652,0,8.59495,85.9495,3.3,15.135,63.0625,
93,1.596,1.596,0,0,0,0,0,0,0,0,0,1.48105,0,6.25652,0,8.59495,85.9495,3.3,18.27,76.125,
94,1.295,1.295,0,0,0,0,0,0,0,0,0,1.48105,0,6.25652,0,8.59495,85.9495,3.3,21.405,89.1875,
95,0.995,0.995,0,0,0,0,0,0,0,0,0,1.48105,0,6.25652,0,8.59495,85.9495,2.73158,24,100,
96,0.697,0.697,0,0,0,0,0,0,0,0,0,1.48105,0,6.25652,0,8.59495,85.9495,0,24,100,
97,0.596,0.596,0,0,0,0,0,0,0,0,0,1.48105,0,6.25652,0,8.59495,85.9495,0,24,100,
98,0.562,0.562,0,0,0,0,0,0,0,0,0,1.48105,0,6.25652,0,8.59495,85.9495,0,24,100,
99,0.56,0.56,0,0,0,0,0,0,0,0,0,1.48105,0,6.25652,0,8.59495,85.9495,0,24,100,
100,0.555,0.555,0,0,0,0,0,0,0,0,0,1.48105,0,6.25652,0,8.59495,85.9495,0,0,0,
101,0.616,0.616,0,0,0,0,0,0,0,0,0,1.48105,0,6.25652,0,8.59495,85.9495,0,0,0,
102,0.848,0.848,0,0,0,0,0,0,0,0,0,1.48105,0,6.25652,0,8.59495,85.9495,0,0,0,
103,1.171,1.171,0,0,0,0,0,0,0,0,0,1.48105,0,6.25652,0,8.59495,85.9495,0,0,0,
104,1.078,1.078,104,0,0,0.8,0,0,0,0,0,1.48105,0,6.25652,0,8.59495,85.9495,0,0,0,
105,0.87,0.87,266,0,0,0.8,0,0,0,0,0,1.48105,0,6.25652,0,8.59495,85.9495,0,0,0,
106,0.864,0.864,394,0,0,0.8,0,0,0,0,0,1.48105,0,6.25652,0,8.59495,85.9495,0,0,0,
107,0.862,0.862,488,0,0,0.8,0,0,0,0,0,1.48105,0,6.25652,0,8.59495,85.9495,0,0,0,
108,0.831,0.831,497,0,0,0.8,0,0,0,0,0,1.48105,0,6.25652,0,8.59495,85.9495,0,0,0,
