Time step,Net load,Load,Solar PV,Inverter AC,Battery,Electric vehicle,
0,0.683,0.683,0,0,0,0,
1,0.585,0.585,0,0,0,0,
2,0.549,0.549,0,0,0,0,
3,0.543,0.543,0,0,0,0,
4,0.54,0.54,0,0,0,0,
5,0.6,0.6,0,0,0,0,
6,0.828,0.828,0,0,0,0,
7,1.137,1.137,0,0,0,0,
8,1.043,1.043,0,0,0,0,
9,0.82,0.82,0,0,0,0,
10,0.805,0.805,0,0,0,0,
11,0.809,0.809,0,0,0,0,
12,0.783,0.783,0,0,0,0,
13,-1.20467,0.779,2.08808,1.98367,0,0,
14,-2.13492,0.772,3.05992,2.90692,0,0,
15,-0.384205,0.808,1.25495,1.19221,0,0,
16,-0.0150273,0.948,1.01371,0.963027,0,0,
17,0,1.272,0,1.272,1.33895,0,
18,1.66,1.66,0,0,0,0,
19,1.867,1.867,0,0,0,0,
20,5.13,1.83,0,0,0,3.3,
21,4.896,1.596,0,0,0,3.3,
22,4.595,1.295,0,0,0,3.3,
23,3.72558,0.994,0,0,0,2.73158,
24,0.679,0.679,0,0,0,0,
25,0.569,0.569,0,0,0,0,
26,0.533,0.533,0,0,0,0,
27,0.524,0.524,0,0,0,0,
28,0.521,0.521,0,0,0,0,
29,0.578,0.578,0,0,0,0,
30,0.788,0.788,0,0,0,0,
31,1.108,1.108,0,0,0,0,
32,1.025,1.025,0,0,0,0,
33,0.811,0.811,0,0,0,0,
34,0.8,0.8,0,0,0,0,
35,0.809,0.809,0,0,0,0,
36,0.783,0.783,0,0,0,0,
37,0.225429,0.779,2.07043,0.553571,-1.48772,0,
38,-1.78393,0.772,2.69045,2.55593,0,0,
39,0,0.808,0.699347,0.808,0.151179,0,
40,0,0.948,0.995647,0.948,0.00224796,0,
41,0,1.272,0,1.272,1.33895,0,
42,1.66,1.66,0,0,0,0,
43,1.867,1.867,0,0,0,0,
44,5.13,1.83,0,0,0,3.3,
45,4.896,1.596,0,0,0,3.3,
46,4.596,1.296,0,0,0,3.3,
47,3.73458,1.003,0,0,0,2.73158,
48,0.699,0.699,0,0,0,0,
49,0.597,0.597,0,0,0,0,
50,0.558,0.558,0,0,0,0,
51,0.548,0.548,0,0,0,0,
52,0.543,0.543,0,0,0,0,
53,0.597,0.597,0,0,0,0,
54,0.816,0.816,0,0,0,0,
55,1.126,1.126,0,0,0,0,
56,1.037,1.037,0,0,0,0,
57,0.813,0.813,0,0,0,0,
58,0.804,0.804,0,0,0,0,
59,0.813,0.813,0,0,0,0,
60,0.783,0.783,0,0,0,0,
61,0.402136,0.779,2.05489,0.376864,-1.65819,0,
62,-1.09631,0.772,1.96664,1.86831,0,0,
63,-0.0365353,0.808,0.888984,0.844535,0,0,
64,-0.060377,0.948,1.06145,1.00838,0,0,
65,0,1.272,0.00599993,1.272,1.33295,0,
66,1.66,1.66,0,0,0,0,
67,1.867,1.867,0,0,0,0,
68,5.13,1.83,0,0,0,3.3,
69,4.896,1.596,0,0,0,3.3,
70,4.595,1.295,0,0,0,3.3,
71,3.73258,1.001,0,0,0,2.73158,
72,0.701,0.701,0,0,0,0,
73,0.599,0.599,0,0,0,0,
74,0.563,0.563,0,0,0,0,
75,0.559,0.559,0,0,0,0,
76,0.556,0.556,0,0,0,0,
77,0.612,0.612,0,0,0,0,
78,0.837,0.837,0,0,0,0,
79,1.146,1.146,0,0,0,0,
80,1.047,1.047,0,0,0,0,
81,0.828,0.828,0,0,0,0,
82,0.82,0.82,0,0,0,0,
83,0.809,0.809,0,0,0,0,
84,0.783,0.783,0,0,0,0,
85,0.246597,0.779,2.04148,0.532403,-1.48105,0,
86,-2.1066,0.772,3.03011,2.8786,0,0,
87,-1.1555,0.808,2.06685,1.9635,0,0,
88,-0.0431992,0.948,1.04337,0.991199,0,0,
89,0,1.272,0.00599993,1.272,1.33295,0,
90,1.66,1.66,0,0,0,0,
91,1.867,1.867,0,0,0,0,
92,5.13,1.83,0,0,0,3.3,
93,4.896,1.596,0,0,0,3.3,
94,4.595,1.295,0,0,0,3.3,
95,3.72658,0.995,0,0,0,2.73158,
96,0.697,0.697,0,0,0,0,
97,0.596,0.596,0,0,0,0,
98,0.562,0.562,0,0,0,0,
99,0.56,0.56,0,0,0,0,
100,0.555,0.555,0,0,0,0,
101,0.616,0.616,0,0,0,0,
102,0.848,0.848,0,0,0,0,
103,1.171,1.171,0,0,0,0,
104,1.078,1.078,0,0,0,0,
105,0.87,0.87,0,0,0,0,
106,0.864,0.864,0,0,0,0,
107,0.862,0.862,0,0,0,0,
108,0.831,0.831,0,0,0,0,
109,0.30133,0.823,2.03018,0.52167,-1.48105,0,
110,-2.05893,0.809,3.01887,2.86793,0,0,
111,-1.03865,0.848,1.98595,1.88665,0,0,
112,0,0.984,1.01331,0.984,0.0224768,0,
113,0,1.308,0.0119997,1.308,1.36484,0,
114,1.695,1.695,0,0,0,0,
115,1.902,1.902,0,0,0,0,
116,5.166,1.866,0,0,0,3.3,
117,4.931,1.631,0,0,0,3.3,
118,4.624,1.324,0,0,0,3.3,
119,3.74558,1.014,0,0,0,2.73158,
120,0.708,0.708,0,0,0,0,
121,0.607,0.607,0,0,0,0,
122,0.572,0.572,0,0,0,0,
123,0.563,0.563,0,0,0,0,
124,0.565,0.565,0,0,0,0,
125,0.627,0.627,0,0,0,0,
126,0.86,0.86,0,0,0,0,
127,1.177,1.177,0,0,0,0,
128,1.106,1.106,0,0,0,0,
129,0.892,0.892,0,0,0,0,
130,0.886,0.886,0,0,0,0,
131,0.862,0.862,0,0,0,0,
132,0.831,0.831,0,0,0,0,
133,0.367442,0.823,2.021,0.455558,-1.54147,0,
134,-2.04765,0.809,3.007,2.85665,0,0,
135,-1.081,0.848,2.03052,1.929,0,0,
136,-0.0467171,0.984,1.08497,1.03072,0,0,
137,0,1.308,0.0119997,1.308,1.36484,0,
138,1.695,1.695,0,0,0,0,
139,1.902,1.902,0,0,0,0,
140,5.166,1.866,0,0,0,3.3,
141,4.931,1.631,0,0,0,3.3,
142,4.624,1.324,0,0,0,3.3,
143,3.74358,1.012,0,0,0,2.73158,
144,0.697,0.697,0,0,0,0,
145,0.596,0.596,0,0,0,0,
146,0.561,0.561,0,0,0,0,
147,0.557,0.557,0,0,0,0,
148,0.555,0.555,0,0,0,0,
149,0.612,0.612,0,0,0,0,
150,0.836,0.836,0,0,0,0,
151,1.149,1.149,0,0,0,0,
152,1.055,1.055,0,0,0,0,
153,0.837,0.837,0,0,0,0,
154,0.826,0.826,0,0,0,0,
155,0.811,0.811,0,0,0,0,
156,0.783,0.783,0,0,0,0,
157,0.306419,0.779,2.01394,0.472581,-1.51649,0,
158,-2.65942,0.772,3.61202,3.43142,0,0,
159,-1.28957,0.808,2.20797,2.09757,0,0,
160,-0.0541752,0.948,1.05492,1.00218,0,0,
161,0,1.272,0.0179993,1.272,1.32095,0,
162,1.66,1.66,0,0,0,0,
163,1.867,1.867,0,0,0,0,
164,5.13,1.83,0,0,0,3.3,
165,4.896,1.596,0,0,0,3.3,
166,4.595,1.295,0,0,0,3.3,
167,3.72558,0.994,0,0,0,2.73158,
168,0.679,0.679,0,0,0,0,
169,0.566,0.566,0,0,0,0,
170,0.526,0.526,0,0,0,0,
171,0.525,0.525,0,0,0,0,
172,0.522,0.522,0,0,0,0,
173,0.582,0.582,0,0,0,0,
174,0.808,0.808,0,0,0,0,
175,1.123,1.123,0,0,0,0,
176,1.022,1.022,0,0,0,0,
177,0.803,0.803,0,0,0,0,
178,0.8,0.8,0,0,0,0,
179,0.809,0.809,0,0,0,0,
180,0.783,0.783,0,0,0,0,
181,0.264769,0.779,2.00902,0.514231,-1.46772,0,
182,-2.06026,0.772,2.98132,2.83226,0,0,
183,-1.27344,0.808,2.19099,2.08144,0,0,
184,-0.116405,0.948,1.12043,1.0644,0,0,
185,0,1.272,0.0239986,1.272,1.31495,0,
186,1.66,1.66,0,0,0,0,
187,1.867,1.867,0,0,0,0,
188,5.13,1.83,0,0,0,3.3,
189,4.896,1.596,0,0,0,3.3,
190,4.595,1.295,0,0,0,3.3,
191,3.72558,0.994,0,0,0,2.73158,
192,0.679,0.679,0,0,0,0,
193,0.566,0.566,0,0,0,0,
194,0.519,0.519,0,0,0,0,
195,0.504,0.504,0,0,0,0,
196,0.491,0.491,0,0,0,0,
197,0.544,0.544,0,0,0,0,
198,0.759,0.759,0,0,0,0,
199,1.08,1.08,0,0,0,0,
200,0.998,0.998,0,0,0,0,
201,0.803,0.803,0,0,0,0,
202,0.8,0.8,0,0,0,0,
203,0.809,0.809,0,0,0,0,
204,0.783,0.783,0,0,0,0,
205,0.261088,0.779,2.00622,0.517912,-1.46105,0,
206,-2.61318,0.772,3.56335,3.38518,0,0,
207,-0.52801,0.808,1.40633,1.33601,0,0,
208,-0.0992171,0.948,1.10233,1.04722,0,0,
209,0,1.272,0.0239986,1.272,1.31495,0,
210,1.66,1.66,0,0,0,0,
211,1.867,1.867,0,0,0,0,
212,5.13,1.83,0,0,0,3.3,
213,4.896,1.596,0,0,0,3.3,
214,4.595,1.295,0,0,0,3.3,
215,3.72558,0.994,0,0,0,2.73158,
216,0.679,0.679,0,0,0,0,
217,0.566,0.566,0,0,0,0,
218,0.519,0.519,0,0,0,0,
219,0.504,0.504,0,0,0,0,
220,0.491,0.491,0,0,0,0,
221,0.544,0.544,0,0,0,0,
222,0.757,0.757,0,0,0,0,
223,1.079,1.079,0,0,0,0,
224,1.001,1.001,0,0,0,0,
225,0.805,0.805,0,0,0,0,
226,0.805,0.805,0,0,0,0,
227,0.809,0.809,0,0,0,0,
228,0.783,0.783,0,0,0,0,
229,0.261703,0.779,2.00558,0.517297,-1.46105,0,
230,-2.03345,0.772,2.95311,2.80545,0,0,
231,0,0.808,0.312483,0.808,0.538044,0,
232,0,0.948,0.167969,0.948,0.829926,0,
233,0,1.272,0.00599991,1.272,1.33295,0,
234,1.66,1.66,0,0,0,0,
235,1.867,1.867,0,0,0,0,
236,5.13,1.83,0,0,0,3.3,
237,4.896,1.596,0,0,0,3.3,
238,4.595,1.295,0,0,0,3.3,
239,3.72558,0.994,0,0,0,2.73158,
240,0.679,0.679,0,0,0,0,
241,0.566,0.566,0,0,0,0,
242,0.522,0.522,0,0,0,0,
243,0.51,0.51,0,0,0,0,
244,0.507,0.507,0,0,0,0,
245,0.561,0.561,0,0,0,0,
246,0.784,0.784,0,0,0,0,
247,1.095,1.095,0,0,0,0,
248,0.999,0.999,0,0,0,0,
249,0.803,0.803,0,0,0,0,
250,0.8,0.8,0,0,0,0,
251,0.809,0.809,0,0,0,0,
252,0.783,0.783,0,0,0,0,
253,0.779,0.779,2.00709,0,-2.00709,0,
