Time step,Load requested [kW],Load served [kW],SolarResource global horizontal radiation [W/m2],SolarResource direct horizontal radiation [W/m2],SolarResource diffuse horizontal radiation [W/m2],SolarResource clearness index [-],SolarPV incident radiation [kW/m2],SolarPV power output [kW],Converter input [kW],Converter output [kW],Battery output power [kW],Battery max charge power [kW],Battery charge power [kW],Battery max discharge power [kW],Battery discharge power [kW],Battery capacity as energy [kWh],Battery capacity as fraction [%],ElectricVehicle charge power [kW],ElectricVehicle capacity as energy [kWh],ElectricVehicle capacity as fraction [%],
0,0.683,0.683,0,0,0,0,0,0,0,0,0,0,0,1.00399,0,6,100,0,0,0,
1,0.585,0.585,0,0,0,0,0,0,0,0,0,0,0,1.00399,0,6,100,0,0,0,
2,0.549,0.549,0,0,0,0,0,0,0,0,0,0,0,1.00399,0,6,100,0,0,0,
3,0.543,0.543,0,0,0,0,0,0,0,0,0,0,0,1.00399,0,6,100,0,0,0,
4,0.54,0.54,0,0,0,0,0,0,0,0,0,0,0,1.00399,0,6,100,0,0,0,
5,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,1.00399,0,6,100,0,0,0,
6,0.828,0.828,0,0,0,0,0,0,0,0,0,0,0,1.00399,0,6,100,0,0,0,
7,1.137,1.137,0,0,0,0,0,0,0,0,0,0,0,1.00399,0,6,100,0,0,0,
8,1.043,1.043,107,47.8213,59.1787,0.549034,168.523,0.337046,0.337046,0.320194,0,0,0,1.00399,0,6,100,0,0,0,
9,0.82,0.82,271,159.428,111.572,0.612683,160.978,0.321956,0.321956,0.305858,0,0,0,1.00399,0,6,100,0,0,0,
10,0.805,0.805,391,227.891,163.109,0.610176,104.79,0.20958,0.20958,0.199101,0,0,0,1.00399,0,6,100,0,0,0,
11,0.809,0.809,483,293.609,189.391,0.62177,118.572,0.237144,0.237144,0.225287,0,0,0,1.00399,0,6,100,0,0,0,
12,0.783,0.783,526,323.785,202.215,0.62537,125.576,0.251152,0.251152,0.238595,0,0,0,1.00399,0,6,100,0,0,0,
13,0.779,0.779,497,277.828,219.172,0.599315,144.173,0.288346,0.288346,0.273928,0,0,0,1.00399,0,6,100,0,0,0,
14,0.772,0.772,437,234.127,202.873,0.588826,136.442,0.272885,0.272885,0.259241,0,0,0,1.00399,0,6,100,0,0,0,
15,0.808,0.808,203,18.6996,184.3,0.346619,164.208,0.328415,0.850526,0.808,0.522111,0,0,1.00399,0.522111,5.37596,89.5993,0,0,0,
16,0.948,0.948,169,42.964,126.036,0.456208,104.323,0.208647,0.690528,0.656001,0.481881,0.745873,0,0.481881,0.481881,4.8,80,0,0,0,
17,1.272,1.272,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
18,1.66,1.66,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
19,1.867,1.867,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
20,1.83,1.83,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
21,1.596,1.596,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
22,1.295,1.295,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
23,0.994,0.994,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
24,0.679,0.679,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
25,0.569,0.569,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
26,0.533,0.533,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
27,0.524,0.524,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
28,0.521,0.521,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
29,0.578,0.578,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
30,0.788,0.788,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
31,1.108,1.108,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
32,1.025,1.025,52,1.73427,50.2657,0.268008,49.9749,0.0999499,0,0,-0.0999499,1.43427,0.0999499,0,0,4.88362,81.3937,0,0,0,
33,0.811,0.811,242,107.402,134.598,0.54763,162.001,0.324001,0,0,-0.324001,1.33432,0.324001,0.0699649,0,5.1547,85.9117,0,0,0,
34,0.8,0.8,352,157.454,194.546,0.549206,141.289,0.282577,0,0,-0.282577,1.01032,0.282577,0.296766,0,5.39112,89.8521,0,0,0,
35,0.809,0.809,411,165.183,245.817,0.528596,184.9,0.3698,0,0,-0.3698,0.727746,0.3698,0.49457,0,5.70052,95.0087,0,0,0,
36,0.783,0.783,263,15.879,247.121,0.312195,222.358,0.444716,0.0867701,0.0824316,-0.357946,0.357946,0.357946,0.75343,0,6,100,0,0,0,
37,0.779,0.779,263,16.769,246.231,0.316421,221.346,0.442692,0.442692,0.420558,0,0,0,1.00399,0,6,100,0,0,0,
38,0.772,0.772,250,20.272,229.728,0.335774,205.429,0.410858,0.410858,0.390315,0,0,0,1.00399,0,6,100,0,0,0,
39,0.808,0.808,116,2.05801,113.942,0.197128,103.51,0.207019,0.850526,0.808,0.643507,0,0,1.00399,0.643507,5.23086,87.181,0,0,0,
40,0.948,0.948,166,38.636,127.364,0.444433,106.662,0.213323,0.573808,0.545118,0.360485,0.919296,0,0.360485,0.360485,4.8,80,0,0,0,
41,1.272,1.272,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
42,1.66,1.66,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
43,1.867,1.867,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
44,1.83,1.83,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
45,1.596,1.596,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
46,1.296,1.296,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
47,1.003,1.003,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
48,0.699,0.699,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
49,0.597,0.597,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
50,0.558,0.558,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
51,0.548,0.548,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
52,0.543,0.543,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
53,0.597,0.597,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
54,0.816,0.816,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
55,1.126,1.126,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
56,1.037,1.037,84,18.1032,65.8968,0.434618,105.692,0.211384,0,0,-0.211384,1.43427,0.211384,0,0,4.97686,82.9476,0,0,0,
57,0.813,0.813,284,185.306,98.6939,0.643101,164.065,0.328131,0,0,-0.328131,1.22289,0.328131,0.147969,0,5.25139,87.5232,0,0,0,
58,0.804,0.804,371,190.327,180.673,0.578626,124.075,0.248151,0,0,-0.248151,0.89476,0.248151,0.37766,0,5.45901,90.9835,0,0,0,
