Time step,Net load,Load,Solar PV,Inverter AC,Battery,Electric vehicle,
0,0.683,0.683,0,0,0,0,
1,0.585,0.585,0,0,0,0,
2,0.549,0.549,0,0,0,0,
3,0.543,0.543,0,0,0,0,
4,0.54,0.54,0,0,0,0,
5,0.6,0.6,0,0,0,0,
6,0.828,0.828,0,0,0,0,
7,1.137,1.137,0,0,0,0,
8,0.722806,1.043,0.337046,0.320194,0,0,
9,0.514142,0.82,0.321956,0.305858,0,0,
10,0.605899,0.805,0.20958,0.199101,0,0,
11,0.583713,0.809,0.237144,0.225287,0,0,
12,0.544405,0.783,0.251152,0.238595,0,0,
13,0.505072,0.779,0.288346,0.273928,0,0,
14,0.512759,0.772,0.272885,0.259241,0,0,
15,0,0.808,0.328415,0.808,0.522111,0,
16,0.291999,0.948,0.208647,0.656001,0.481881,0,
17,1.272,1.272,0,0,0,0,
18,1.66,1.66,0,0,0,0,
19,1.867,1.867,0,0,0,0,
20,1.83,1.83,0,0,0,0,
21,1.596,1.596,0,0,0,0,
22,1.295,1.295,0,0,0,0,
23,0.994,0.994,0,0,0,0,
24,0.679,0.679,0,0,0,0,
25,0.569,0.569,0,0,0,0,
26,0.533,0.533,0,0,0,0,
27,0.524,0.524,0,0,0,0,
28,0.521,0.521,0,0,0,0,
29,0.578,0.578,0,0,0,0,
30,0.788,0.788,0,0,0,0,
31,1.108,1.108,0,0,0,0,
32,1.025,1.025,0.0999499,0,-0.0999499,0,
33,0.811,0.811,0.324001,0,-0.324001,0,
34,0.8,0.8,0.282577,0,-0.282577,0,
35,0.809,0.809,0.3698,0,-0.3698,0,
36,0.700568,0.783,0.444716,0.0824316,-0.357946,0,
37,0.358442,0.779,0.442692,0.420558,0,0,
38,0.381685,0.772,0.410858,0.390315,0,0,
39,0,0.808,0.207019,0.808,0.643507,0,
40,0.402882,0.948,0.213323,0.545118,0.360485,0,
41,1.272,1.272,0,0,0,0,
42,1.66,1.66,0,0,0,0,
43,1.867,1.867,0,0,0,0,
44,1.83,1.83,0,0,0,0,
45,1.596,1.596,0,0,0,0,
46,1.296,1.296,0,0,0,0,
47,1.003,1.003,0,0,0,0,
48,0.699,0.699,0,0,0,0,
49,0.597,0.597,0,0,0,0,
50,0.558,0.558,0,0,0,0,
51,0.548,0.548,0,0,0,0,
52,0.543,0.543,0,0,0,0,
53,0.597,0.597,0,0,0,0,
54,0.816,0.816,0,0,0,0,
55,1.126,1.126,0,0,0,0,
56,1.037,1.037,0.211384,0,-0.211384,0,
57,0.813,0.813,0.328131,0,-0.328131,0,
58,0.804,0.804,0.248151,0,-0.248151,0,
59,0.813,0.813,0.311166,0,-0.311166,0,
60,0.735793,0.783,0.385134,0.0472066,-0.335442,0,
61,0.378667,0.779,0.421403,0.400333,0,0,
62,0.432253,0.772,0.357628,0.339747,0,0,
63,0,0.808,0.259696,0.808,0.59083,0,
64,0.358114,0.948,0.20777,0.589886,0.413162,0,
65,1.27028,1.272,0.00181343,0.00172276,0,0,
66,1.66,1.66,0,0,0,0,
67,1.867,1.867,0,0,0,0,
68,1.83,1.83,0,0,0,0,
69,1.596,1.596,0,0,0,0,
70,1.295,1.295,0,0,0,0,
71,1.001,1.001,0,0,0,0,
72,0.701,0.701,0,0,0,0,
73,0.599,0.599,0,0,0,0,
74,0.563,0.563,0,0,0,0,
75,0.559,0.559,0,0,0,0,
76,0.556,0.556,0,0,0,0,
77,0.612,0.612,0,0,0,0,
78,0.837,0.837,0,0,0,0,
79,1.146,1.146,0,0,0,0,
80,1.047,1.047,0.343235,0,-0.343235,0,
81,0.828,0.828,0.330254,0,-0.330254,0,
82,0.82,0.82,0.193793,0,-0.193793,0,
83,0.809,0.809,0.231552,0,-0.231552,0,
84,0.783,0.783,0.259314,0,-0.259314,0,
85,0.558011,0.779,0.308746,0.220989,-0.0761262,0,
86,0.498567,0.772,0.287825,0.273433,0,0,
87,0,0.808,0.292265,0.808,0.558262,0,
88,0.321781,0.948,0.213448,0.626219,0.44573,0,
89,1.27028,1.272,0.00181344,0.00172277,0,0,
90,1.66,1.66,0,0,0,0,
91,1.867,1.867,0,0,0,0,
92,1.83,1.83,0,0,0,0,
93,1.596,1.596,0,0,0,0,
94,1.295,1.295,0,0,0,0,
95,0.995,0.995,0,0,0,0,
96,0.697,0.697,0,0,0,0,
97,0.596,0.596,0,0,0,0,
98,0.562,0.562,0,0,0,0,
99,0.56,0.56,0,0,0,0,
100,0.555,0.555,0,0,0,0,
101,0.616,0.616,0,0,0,0,
102,0.848,0.848,0,0,0,0,
103,1.171,1.171,0,0,0,0,
104,1.078,1.078,0.333613,0,-0.333613,0,
105,0.87,0.87,0.332824,0,-0.332824,0,
106,0.864,0.864,0.205749,0,-0.205749,0,
107,0.862,0.862,0.233131,0,-0.233131,0,
108,0.831,0.831,0.314889,0,-0.314889,0,
109,0.600937,0.823,0.247819,0.222063,-0.014068,0,
110,0.531751,0.809,0.291841,0.277249,0,0,
111,0,0.848,0.3088,0.848,0.583832,0,
112,0.376214,0.984,0.219615,0.607786,0.42016,0,
113,1.30456,1.308,0.00362585,0.00344456,0,0,
114,1.695,1.695,0,0,0,0,
115,1.902,1.902,0,0,0,0,
116,1.866,1.866,0,0,0,0,
117,1.631,1.631,0,0,0,0,
118,1.324,1.324,0,0,0,0,
119,1.014,1.014,0,0,0,0,
120,0.708,0.708,0,0,0,0,
121,0.607,0.607,0,0,0,0,
122,0.572,0.572,0,0,0,0,
123,0.563,0.563,0,0,0,0,
124,0.565,0.565,0,0,0,0,
125,0.627,0.627,0,0,0,0,
126,0.86,0.86,0,0,0,0,
127,1.177,1.177,0,0,0,0,
128,1.106,1.106,0.115893,0,-0.115893,0,
129,0.892,0.892,0.338302,0,-0.338302,0,
130,0.886,0.886,0.250343,0,-0.250343,0,
131,0.862,0.862,0.207772,0,-0.207772,0,
132,0.831,0.831,0.328917,0,-0.328917,0,
133,0.704811,0.823,0.317456,0.118189,-0.193047,0,
134,0.47055,0.809,0.356263,0.33845,0,0,
135,0,0.848,0.304441,0.848,0.58819,0,
136,0.385778,0.984,0.213906,0.598222,0.415802,0,
137,1.30456,1.308,0.00362592,0.00344462,0,0,
138,1.695,1.695,0,0,0,0,
139,1.902,1.902,0,0,0,0,
140,1.866,1.866,0,0,0,0,
141,1.631,1.631,0,0,0,0,
142,1.324,1.324,0,0,0,0,
143,1.012,1.012,0,0,0,0,
144,0.697,0.697,0,0,0,0,
145,0.596,0.596,0,0,0,0,
146,0.561,0.561,0,0,0,0,
147,0.557,0.557,0,0,0,0,
148,0.555,0.555,0,0,0,0,
149,0.612,0.612,0,0,0,0,
150,0.836,0.836,0,0,0,0,
151,1.149,1.149,0,0,0,0,
152,1.055,1.055,0.319685,0,-0.319685,0,
153,0.837,0.837,0.327707,0,-0.327707,0,
154,0.826,0.826,0.294634,0,-0.294634,0,
155,0.811,0.811,0.43457,0,-0.43457,0,
156,0.601558,0.783,0.24867,0.181442,-0.0576783,0,
157,0.36218,0.779,0.438758,0.41682,0,0,
158,0.357667,0.772,0.43614,0.414333,0,0,
159,0,0.808,0.274299,0.808,0.576227,0,
160,0.331534,0.948,0.221146,0.616466,0.427765,0,
161,1.26683,1.272,0.00543697,0.00516512,0,0,
162,1.66,1.66,0,0,0,0,
163,1.867,1.867,0,0,0,0,
164,1.83,1.83,0,0,0,0,
165,1.596,1.596,0,0,0,0,
166,1.295,1.295,0,0,0,0,
167,0.994,0.994,0,0,0,0,
168,0.679,0.679,0,0,0,0,
169,0.566,0.566,0,0,0,0,
170,0.526,0.526,0,0,0,0,
171,0.525,0.525,0,0,0,0,
172,0.522,0.522,0,0,0,0,
173,0.582,0.582,0,0,0,0,
174,0.808,0.808,0,0,0,0,
175,1.123,1.123,0,0,0,0,
176,1.022,1.022,0.406146,0,-0.406146,0,
177,0.803,0.803,0.344817,0,-0.344817,0,
178,0.8,0.8,0.190354,0,-0.190354,0,
179,0.809,0.809,0.21167,0,-0.21167,0,
180,0.783,0.783,0.242477,0,-0.242477,0,
181,0.525243,0.779,0.305923,0.253757,-0.0388102,0,
182,0.513041,0.772,0.272588,0.258959,0,0,
183,0,0.808,0.280588,0.808,0.569939,0,
184,0.331202,0.948,0.215207,0.616798,0.434053,0,
185,1.26512,1.272,0.00724651,0.00688418,0,0,
186,1.66,1.66,0,0,0,0,
187,1.867,1.867,0,0,0,0,
188,1.83,1.83,0,0,0,0,
189,1.596,1.596,0,0,0,0,
190,1.295,1.295,0,0,0,0,
191,0.994,0.994,0,0,0,0,
192,0.679,0.679,0,0,0,0,
193,0.566,0.566,0,0,0,0,
194,0.519,0.519,0,0,0,0,
195,0.504,0.504,0,0,0,0,
196,0.491,0.491,0,0,0,0,
197,0.544,0.544,0,0,0,0,
198,0.759,0.759,0,0,0,0,
199,1.08,1.08,0,0,0,0,
200,0.998,0.998,0.185356,0,-0.185356,0,
201,0.803,0.803,0.333198,0,-0.333198,0,
202,0.8,0.8,0.272648,0,-0.272648,0,
203,0.809,0.809,0.389973,0,-0.389973,0,
204,0.555165,0.783,0.492925,0.227835,-0.253099,0,
205,0.314066,0.779,0.489404,0.464934,0,0,
206,0.35277,0.772,0.441295,0.41923,0,0,
207,0,0.808,0.351262,0.808,0.499265,0,
208,0.257998,0.948,0.22159,0.690002,0.504727,0,
209,1.26512,1.272,0.00724684,0.0068845,0,0,
210,1.66,1.66,0,0,0,0,
211,1.867,1.867,0,0,0,0,
212,1.83,1.83,0,0,0,0,
213,1.596,1.596,0,0,0,0,
214,1.295,1.295,0,0,0,0,
215,0.994,0.994,0,0,0,0,
216,0.679,0.679,0,0,0,0,
217,0.566,0.566,0,0,0,0,
218,0.519,0.519,0,0,0,0,
219,0.504,0.504,0,0,0,0,
220,0.491,0.491,0,0,0,0,
221,0.544,0.544,0,0,0,0,
222,0.757,0.757,0,0,0,0,
223,1.079,1.079,0,0,0,0,
224,1.001,1.001,0.0313162,0,-0.0313162,0,
225,0.805,0.805,0.203247,0,-0.203247,0,
226,0.805,0.805,0.320168,0,-0.320168,0,
227,0.809,0.809,0.245611,0,-0.245611,0,
228,0.783,0.783,0.239748,0,-0.239748,0,
229,0.779,0.779,0.270344,0,-0.270344,0,
230,0.56404,0.772,0.342746,0.20796,-0.123841,0,
231,0,0.808,0.093827,0.808,0.756699,0,
232,0.665018,0.948,0.0505829,0.282982,0.247293,0,
233,1.27028,1.272,0.00181349,0.00172281,0,0,
234,1.66,1.66,0,0,0,0,
235,1.867,1.867,0,0,0,0,
236,1.83,1.83,0,0,0,0,
237,1.596,1.596,0,0,0,0,
238,1.295,1.295,0,0,0,0,
239,0.994,0.994,0,0,0,0,
240,0.679,0.679,0,0,0,0,
