Time step,Grid total load,Grid net load,Strata 1 total load,Strata 2 total load,
0,1.366,1.366,0.683,0.683,
1,1.17,1.17,0.585,0.585,
2,1.098,1.098,0.549,0.549,
3,1.086,1.086,0.543,0.543,
4,1.08,1.08,0.54,0.54,
5,1.2,1.2,0.6,0.6,
6,1.656,1.656,0.828,0.828,
7,2.274,2.274,1.137,1.137,
8,2.086,0.75706,0.4331,0.32396,
9,1.64,-1.72582,-0.7247,-1.00112,
10,1.61,-3.24622,-1.4237,-1.82252,
11,1.618,-4.38086,-1.9441,-2.43676,
12,1.566,-4.96692,-2.2152,-2.75172,
13,1.558,-4.61474,-2.0539,-2.56084,
14,1.544,-3.88354,-1.7189,-2.16464,
15,1.616,-0.90526,-0.3491,-0.55616,
16,1.896,-0.20298,-0.0153,-0.18768,
17,2.544,0,0,0,
18,3.32,3.32,1.66,1.66,
19,3.734,3.734,1.867,1.867,
20,3.66,10.26,5.13,5.13,
21,3.192,9.792,4.896,4.896,
22,2.59,9.19,4.595,4.595,
23,1.988,7.58,3.72558,3.85442,
24,1.358,1.358,0.679,0.679,
25,1.138,1.138,0.569,0.569,
26,1.066,1.066,0.533,0.533,
27,1.048,1.048,0.524,0.524,
28,1.042,1.042,0.521,0.521,
29,1.156,1.156,0.578,0.578,
30,1.576,1.576,0.788,0.788,
31,2.216,2.216,1.108,1.108,
32,2.05,2.05,1.025,1.025,
33,1.622,0.781656,0.548533,0.233122,
34,1.6,-2.77184,-1.2064,-1.56544,
35,1.618,-3.48662,-1.5337,-1.95292,
36,1.566,-1.70046,-0.7161,-0.98436,
37,1.558,-1.70846,-0.7201,-0.98836,
38,1.544,-1.561,-0.653,-0.908,
39,1.616,0,0,0,
40,1.896,-0.136223,0,-0.136223,
41,2.544,0,0,0,
42,3.32,3.32,1.66,1.66,
43,3.734,3.734,1.867,1.867,
44,3.66,10.26,5.13,5.13,
45,3.192,9.792,4.896,4.896,
46,2.592,9.192,4.596,4.596,
47,2.006,7.598,3.73458,3.86342,
48,1.398,1.398,0.699,0.699,
49,1.194,1.194,0.597,0.597,
50,1.116,1.116,0.558,0.558,
51,1.096,1.096,0.548,0.548,
52,1.086,1.086,0.543,0.543,
53,1.194,1.194,0.597,0.597,
54,1.632,1.632,0.816,0.816,
55,2.252,2.252,1.126,1.126,
56,2.074,2.074,1.037,1.037,
57,1.626,0.0316866,0.293844,-0.262158,
58,1.608,-2.99982,-1.3107,-1.68912,
59,1.626,-0.5475,-0.1845,-0.363,
60,1.566,-1.15398,-0.4653,-0.68868,
61,1.558,-1.4849,-0.6175,-0.8674,
62,1.544,-1.0021,-0.3965,-0.6056,
63,1.616,-0.20974,-0.0299,-0.17984,
64,1.896,-0.30234,-0.0609,-0.24144,
65,2.544,0,0,0,
66,3.32,3.32,1.66,1.66,
67,3.734,3.734,1.867,1.867,
68,3.66,10.26,5.13,5.13,
69,3.192,9.792,4.896,4.896,
70,2.59,9.19,4.595,4.595,
71,2.002,7.594,3.73258,3.86142,
72,1.402,1.402,0.701,0.701,
73,1.198,1.198,0.599,0.599,
74,1.126,1.126,0.563,0.563,
75,1.118,1.118,0.559,0.559,
76,1.112,1.112,0.556,0.556,
77,1.224,1.224,0.612,0.612,
78,1.674,1.674,0.837,0.837,
79,2.292,2.292,1.146,1.146,
80,2.094,2.094,1.047,1.047,
81,1.656,-0.228922,0.0861,-0.315022,
82,1.64,-3.328,-1.46,-1.868,
83,1.618,-4.44296,-1.9726,-2.47036,
84,1.566,-4.9545,-2.2095,-2.745,
85,1.558,-4.54022,-2.0197,-2.52052,
86,1.544,-3.8587,-1.7075,-2.1512,
87,1.616,-2.20936,-0.9476,-1.26176,
88,1.896,-0.26508,-0.0438,-0.22128,
89,2.544,0,0,0,
90,3.32,3.32,1.66,1.66,
91,3.734,3.734,1.867,1.867,
92,3.66,10.26,5.13,5.13,
93,3.192,9.792,4.896,4.896,
94,2.59,9.19,4.595,4.595,
95,1.99,7.582,3.72658,3.85542,
96,1.394,1.394,0.697,0.697,
97,1.192,1.192,0.596,0.596,
98,1.124,1.124,0.562,0.562,
99,1.12,1.12,0.56,0.56,
100,1.11,1.11,0.555,0.555,
101,1.232,1.232,0.616,0.616,
102,1.696,1.696,0.848,0.848,
103,2.342,2.342,1.171,1.171,
104,2.156,2.156,1.078,1.078,
105,1.74,-0.0579824,0.168,-0.225982,
106,1.728,-3.16548,-1.3818,-1.78368,
107,1.724,-4.33696,-1.9196,-2.41736,
108,1.662,-4.51074,-2.0019,-2.50884,
109,1.646,-4.8745,-2.1695,-2.705,
110,1.618,-3.7847,-1.6705,-2.1142,
111,1.696,-2.01758,-0.8563,-1.16128,
112,1.968,-0.15168,0,-0.15168,
113,2.616,0,0,0,
114,3.39,3.39,1.695,1.695,
115,3.804,3.804,1.902,1.902,
116,3.732,10.332,5.166,5.166,
117,3.262,9.862,4.931,4.931,
118,2.648,9.248,4.624,4.624,
119,2.028,7.62,3.74558,3.87442,
120,1.416,1.416,0.708,0.708,
121,1.214,1.214,0.607,0.607,
122,1.144,1.144,0.572,0.572,
123,1.126,1.126,0.563,0.563,
124,1.13,1.13,0.565,0.565,
125,1.254,1.254,0.627,0.627,
126,1.72,1.72,0.86,0.86,
127,2.354,2.354,1.177,1.177,
128,2.212,2.212,1.106,1.106,
129,1.784,0.43504,0.411967,0.0230734,
130,1.772,-2.83582,-1.2287,-1.60712,
131,1.724,-4.52326,-2.0051,-2.51816,
132,1.662,-4.43622,-1.9677,-2.46852,
133,1.646,-4.4398,-1.97,-2.4698,
134,1.618,-3.36242,-1.4767,-1.88572,
135,1.696,-2.0921,-0.8905,-1.2016,
136,1.968,-0.28002,-0.0477,-0.23232,
137,2.616,0,0,0,
138,3.39,3.39,1.695,1.695,
139,3.804,3.804,1.902,1.902,
140,3.732,10.332,5.166,5.166,
141,3.262,9.862,4.931,4.931,
142,2.648,9.248,4.624,4.624,
143,2.024,7.616,3.74358,3.87242,
144,1.394,1.394,0.697,0.697,
145,1.192,1.192,0.596,0.596,
146,1.122,1.122,0.561,0.561,
147,1.114,1.114,0.557,0.557,
148,1.11,1.11,0.555,0.555,
149,1.224,1.224,0.612,0.612,
150,1.672,1.672,0.836,0.836,
151,2.298,2.298,1.149,1.149,
152,2.11,2.11,1.055,1.055,
153,1.674,0.53802,0.442267,0.0957534,
154,1.652,-2.65774,-1.1519,-1.50584,
155,1.622,-2.9113,-1.2695,-1.6418,
156,1.566,-5.0787,-2.2665,-2.8122,
157,1.558,-3.64598,-1.6093,-2.03668,
158,1.544,-2.56702,-1.1147,-1.45232,
159,1.616,-2.44534,-1.0559,-1.38944,
160,1.896,-0.28992,-0.0552,-0.23472,
161,2.544,0,0,0,
162,3.32,3.32,1.66,1.66,
163,3.734,3.734,1.867,1.867,
164,3.66,10.26,5.13,5.13,
165,3.192,9.792,4.896,4.896,
166,2.59,9.19,4.595,4.595,
167,1.988,7.58,3.72558,3.85442,
168,1.358,1.358,0.679,0.679,
169,1.132,1.132,0.566,0.566,
170,1.052,1.052,0.526,0.526,
171,1.05,1.05,0.525,0.525,
172,1.044,1.044,0.522,0.522,
173,1.164,1.164,0.582,0.582,
174,1.616,1.616,0.808,0.808,
175,2.246,2.246,1.123,1.123,
176,2.044,2.044,1.022,1.022,
177,1.606,-0.492658,-0.0370667,-0.455592,
178,1.6,-3.41768,-1.5028,-1.91488,
179,1.618,-4.62926,-2.0581,-2.57116,
180,1.566,-5.1408,-2.295,-2.8458,
181,1.558,-4.652,-2.071,-2.581,
182,1.544,-4.06984,-1.8044,-2.26544,
183,1.616,-2.43292,-1.0502,-1.38272,
184,1.896,-0.42654,-0.1179,-0.30864,
185,2.544,0,0,0,
186,3.32,3.32,1.66,1.66,
187,3.734,3.734,1.867,1.867,
188,3.66,10.26,5.13,5.13,
189,3.192,9.792,4.896,4.896,
190,2.59,9.19,4.595,4.595,
191,1.988,7.58,3.72558,3.85442,
192,1.358,1.358,0.679,0.679,
193,1.132,1.132,0.566,0.566,
194,1.038,1.038,0.519,0.519,
195,1.008,1.008,0.504,0.504,
196,0.982,0.982,0.491,0.491,
197,1.088,1.088,0.544,0.544,
198,1.518,1.518,0.759,0.759,
199,2.16,2.16,1.08,1.08,
200,1.996,1.996,0.998,0.998,
201,1.606,0.611424,0.4696,0.141824,
202,1.6,-2.88362,-1.2577,-1.62592,
203,1.618,-3.4121,-1.4995,-1.9126,
204,1.566,-3.04182,-1.3317,-1.71012,
205,1.558,-2.98772,-1.3072,-1.68052,
206,1.544,-2.5546,-1.109,-1.4456,
207,1.616,-1.19092,-0.4802,-0.71072,
208,1.896,-0.38928,-0.1008,-0.28848,
209,2.544,0,0,0,
210,3.32,3.32,1.66,1.66,
211,3.734,3.734,1.867,1.867,
212,3.66,10.26,5.13,5.13,
213,3.192,9.792,4.896,4.896,
214,2.59,9.19,4.595,4.595,
215,1.988,7.58,3.72558,3.85442,
216,1.358,1.358,0.679,0.679,
217,1.132,1.132,0.566,0.566,
218,1.038,1.038,0.519,0.519,
219,1.008,1.008,0.504,0.504,
220,0.982,0.982,0.491,0.491,
221,1.088,1.088,0.544,0.544,
222,1.514,1.514,0.757,0.757,
223,2.158,2.158,1.079,1.079,
224,2.002,2.002,1.001,1.001,
225,1.61,1.61,0.805,0.805,
226,1.61,0.453964,0.3975,0.0564637,
227,1.618,-4.43054,-1.9669,-2.46364,
228,1.566,-5.2029,-2.3235,-2.8794,
229,1.558,-4.93766,-2.2021,-2.73556,
230,1.544,-3.65998,-1.6163,-2.04368,
231,1.616,0,0,0,
232,1.896,1.11022e-016,0,1.11022e-016,
233,2.544,0,0,0,
234,3.32,3.32,1.66,1.66,
235,3.734,3.734,1.867,1.867,
236,3.66,10.26,5.13,5.13,
237,3.192,9.792,4.896,4.896,
238,2.59,9.19,4.595,4.595,
239,1.988,7.58,3.72558,3.85442,
240,1.358,1.358,0.679,0.679,
241,1.132,1.132,0.566,0.566,
242,1.044,1.044,0.522,0.522,
243,1.02,1.02,0.51,0.51,
244,1.014,1.014,0.507,0.507,
245,1.122,1.122,0.561,0.561,
246,1.568,1.568,0.784,0.784,
247,2.19,2.19,1.095,1.095,
248,1.998,1.998,0.999,0.999,
249,1.606,1.606,0.803,0.803,
250,1.6,-2.81734,-0.937056,-1.88028,
251,1.618,-4.69136,-2.0866,-2.60476,
252,1.566,-5.2029,-2.3235,-2.8794,
253,1.558,-4.86314,-2.1679,-2.69524,
254,1.544,-3.95806,-1.7531,-2.20496,
255,1.616,-2.56954,-1.1129,-1.45664,
256,1.896,-0.4638,-0.135,-0.3288,
257,2.544,0,0,0,
258,3.32,3.32,1.66,1.66,
259,3.734,3.734,1.867,1.867,
260,3.66,10.26,5.13,5.13,
261,3.192,9.792,4.896,4.896,
262,2.59,9.19,4.595,4.595,
263,1.988,7.58,3.72558,3.85442,
264,1.372,1.372,0.686,0.686,
265,1.14,1.14,0.57,0.57,
266,1.044,1.044,0.522,0.522,
267,1.012,1.012,0.506,0.506,
268,1.01,1.01,0.505,0.505,
269,1.142,1.142,0.571,0.571,
