Time step,Total load,Net load,Solar PV,Inverter AC,Battery,Electric vehicle,
0,1040.21,1040.21,0,0,0,0,
1,890.955,890.955,0,0,0,0,
2,836.127,836.127,0,0,0,0,
3,826.989,826.989,0,0,0,0,
4,822.42,822.42,0,0,0,0,
5,913.8,913.8,0,0,0,0,
6,1261.04,1261.04,0,0,0,0,
7,1731.65,1731.65,0,0,0,0,
8,1588.49,814.424,814.805,774.065,0,0,
9,1248.86,-711.622,2063.66,1960.48,0,0,
10,1226.02,-1602.58,2977.47,2828.59,0,0,
11,1232.11,-2262.04,3678.05,3494.14,0,0,
12,1192.51,-2612.71,4005.49,3805.22,0,0,
13,1186.42,-2409.01,3784.65,3595.42,0,0,
14,1175.76,-1985.61,3327.76,3161.37,0,0,
15,1230.58,-237.969,1545.84,1468.55,0,0,
16,1443.8,0,1286.93,1443.8,232.859,0,
17,1937.26,0,0,1937.26,2039.22,0,
18,2528.18,2528.18,0,0,0,0,
19,2843.44,2843.44,0,0,0,0,
20,2787.09,7812.99,0,0,0,5025.9,
21,2430.71,7456.61,0,0,0,5025.9,
22,1972.28,6998.18,0,0,0,5025.9,
23,1513.86,5674.06,0,0,0,4160.19,
24,1034.12,1034.12,0,0,0,0,
25,866.587,866.587,0,0,0,0,
26,811.759,811.759,0,0,0,0,
27,798.052,798.052,0,0,0,0,
28,793.483,793.483,0,0,0,0,
29,880.294,880.294,0,0,0,0,
30,1200.12,1200.12,0,0,0,0,
31,1687.48,1687.48,0,0,0,0,
32,1561.07,1561.07,395.98,0,-395.98,0,
33,1235.15,1235.15,1842.83,0,-1842.83,0,
34,1218.4,-1056.62,2680.48,2275.02,-285.718,0,
35,1232.11,-1741.17,3129.77,2973.28,0,0,
36,1192.51,-710.099,2002.74,1902.61,0,0,
37,1186.42,-716.191,2002.74,1902.61,0,0,
38,1175.76,-632.806,1903.75,1808.56,0,0,
39,1230.58,0,883.34,1230.58,412.012,0,
40,1443.8,0,1264.09,1443.8,255.704,0,
41,1937.26,0,0,1937.26,2039.22,0,
42,2528.18,2528.18,0,0,0,0,
43,2843.44,2843.44,0,0,0,0,
44,2787.09,7812.99,0,0,0,5025.9,
45,2430.71,7456.61,0,0,0,5025.9,
46,1973.81,6999.71,0,0,0,5025.9,
47,1527.57,5687.76,0,0,0,4160.19,
48,1064.58,1064.58,0,0,0,0,
49,909.231,909.231,0,0,0,0,
50,849.834,849.834,0,0,0,0,
51,834.604,834.604,0,0,0,0,
52,826.989,826.989,0,0,0,0,
53,909.231,909.231,0,0,0,0,
54,1242.77,1242.77,0,0,0,0,
55,1714.9,1714.9,0,0,0,0,
56,1579.35,1579.35,639.66,0,-639.66,0,
57,1238.2,1238.2,2162.66,0,-2162.66,0,
58,1224.49,-1264.3,2825.16,2488.79,-205.382,0,
59,1238.2,-27.7947,1332.62,1265.99,0,0,
60,1192.51,-391.792,1667.68,1584.3,0,0,
61,1186.42,-585.974,1865.68,1772.39,0,0,
62,1175.76,-307.265,1561.07,1483.02,0,0,
63,1230.58,0,1119.4,1230.58,175.947,0,
64,1443.8,0,1347.86,1443.8,171.939,0,
65,1937.26,0,7.615,1937.26,2031.6,0,
66,2528.18,2528.18,0,0,0,0,
67,2843.44,2843.44,0,0,0,0,
