Time step,Load requested [kW],Load served [kW],SolarResource global horizontal radiation [W/m2],SolarResource direct horizontal radiation [W/m2],SolarResource diffuse horizontal radiation [W/m2],SolarResource clearness index [-],SolarPV incident radiation [kW/m2],SolarPV power output [kW],Converter input [kW],Converter output [kW],Battery output power [kW],Battery max charge power [kW],Battery charge power [kW],Battery max discharge power [kW],Battery discharge power [kW],Battery capacity as energy [kWh],Battery capacity as fraction [%],ElectricVehicle charge power [kW],ElectricVehicle capacity as energy [kWh],ElectricVehicle capacity as fraction [%],
0,0.683,0.683,0,0,0,0,0,0,0,0,0,0,0,7.4815,0,10,100,0,23,100,
1,0.585,0.585,0,0,0,0,0,0,0,0,0,0,0,7.4815,0,10,100,0,23,100,
2,0.549,0.549,0,0,0,0,0,0,0,0,0,0,0,7.4815,0,10,100,0,23,100,
3,0.543,0.543,0,0,0,0,0,0,0,0,0,0,0,7.4815,0,10,100,0,23,100,
4,0.54,0.54,0,0,0,0,0,0,0,0,0,0,0,7.4815,0,10,100,0,0,0,
5,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,7.4815,0,10,100,0,0,0,
6,0.828,0.828,0,0,0,0,0,0,0,0,0,0,0,7.4815,0,10,100,0,0,0,
7,1.137,1.137,0,0,0,0,0,0,0,0,0,0,0,7.4815,0,10,100,0,0,0,
8,1.043,1.043,107,1.32628,105.674,0.137724,107,0.535,0.535,0.50825,0,0,0,7.4815,0,10,100,0,0,0,
9,0.82,0.82,271,8.80264,262.197,0.266016,271,1.355,1.355,1.28725,0,0,0,7.4815,0,10,100,0,0,0,
10,0.805,0.805,391,28.9298,362.07,0.328245,391,1.955,1.955,1.85725,0,0,0,7.4815,0,10,100,0,0,0,
11,0.809,0.809,483,61.5862,421.414,0.376605,483,2.415,2.415,2.29425,0,0,0,7.4815,0,10,100,0,0,0,
12,0.783,0.783,526,91.2103,434.79,0.408863,526,2.63,2.63,2.4985,0,0,0,7.4815,0,10,100,0,0,0,
13,0.779,0.779,497,89.5296,407.47,0.413183,497,2.485,2.485,2.36075,0,0,0,7.4815,0,10,100,0,0,0,
14,0.772,0.772,437,84.4029,352.597,0.42129,437,2.185,2.185,2.07575,0,0,0,7.4815,0,10,100,0,0,0,
15,0.808,0.808,203,5.61216,197.388,0.25341,203,1.015,1.015,0.96425,0,0,0,7.4815,0,10,100,0,0,0,
16,0.948,0.948,169,12.9641,156.036,0.331189,169,0.845,0.997895,0.948,0.152895,0,0,7.4815,0.152895,9.8406,98.406,0,0,0,
17,1.272,1.272,0,0,0,0,0,0,1.33895,1.272,1.33895,0.16619,0,7.3286,1.33895,8.44465,84.4465,0,0,0,
18,1.66,1.66,0,0,0,0,0,0,0,0,0,1.62157,0,5.98966,0,8.44465,84.4465,0,0,0,
19,1.867,1.867,0,0,0,0,0,0,0,0,0,1.62157,0,5.98966,0,8.44465,84.4465,0,11.5,50,
20,1.83,1.83,0,0,0,0,0,0,0,0,0,1.62157,0,5.98966,0,8.44465,84.4465,3.3,14.635,63.6304,
21,1.596,1.596,0,0,0,0,0,0,0,0,0,1.62157,0,5.98966,0,8.44465,84.4465,3.3,17.77,77.2609,
22,1.295,1.295,0,0,0,0,0,0,0,0,0,1.62157,0,5.98966,0,8.44465,84.4465,3.3,20.905,90.8913,
23,0.994,0.994,0,0,0,0,0,0,0,0,0,1.62157,0,5.98966,0,8.44465,84.4465,2.20526,23,100,
24,0.679,0.679,0,0,0,0,0,0,0,0,0,1.62157,0,5.98966,0,8.44465,84.4465,0,23,100,
25,0.569,0.569,0,0,0,0,0,0,0,0,0,1.62157,0,5.98966,0,8.44465,84.4465,0,23,100,
26,0.533,0.533,0,0,0,0,0,0,0,0,0,1.62157,0,5.98966,0,8.44465,84.4465,0,23,100,
27,0.524,0.524,0,0,0,0,0,0,0,0,0,1.62157,0,5.98966,0,8.44465,84.4465,0,23,100,
28,0.521,0.521,0,0,0,0,0,0,0,0,0,1.62157,0,5.98966,0,8.44465,84.4465,0,0,0,
29,0.578,0.578,0,0,0,0,0,0,0,0,0,1.62157,0,5.98966,0,8.44465,84.4465,0,0,0,
30,0.788,0.788,0,0,0,0,0,0,0,0,0,1.62157,0,5.98966,0,8.44465,84.4465,0,0,0,
31,1.108,1.108,0,0,0,0,0,0,0,0,0,1.62157,0,5.98966,0,8.44465,84.4465,0,0,0,
32,1.025,1.025,52,0.313885,51.6861,0.0670694,52,0.26,0,0,-0.26,1.62157,0.26,5.98966,0,8.69403,86.9403,0,0,0,
33,0.811,0.811,242,5.61232,236.388,0.237782,242,1.21,0,0,-1.21,1.36157,1.21,6.22886,0,9.85462,98.5462,0,0,0,
34,0.8,0.8,352,17.0529,334.947,0.295586,352,1.76,1.60843,1.52801,-0.151568,0.151568,0.151568,7.34206,0,10,100,0,0,0,
35,0.809,0.809,411,27.5601,383.44,0.320375,411,2.055,2.055,1.95225,0,0,0,7.4815,0,10,100,0,0,0,
36,0.783,0.783,263,4.83503,258.165,0.204268,263,1.315,1.315,1.24925,0,0,0,7.4815,0,10,100,0,0,0,
37,0.779,0.779,263,5.16837,257.832,0.218351,263,1.315,1.315,1.24925,0,0,0,7.4815,0,10,100,0,0,0,
38,0.772,0.772,250,5.96327,244.037,0.240523,250,1.25,1.25,1.1875,0,0,0,7.4815,0,10,100,0,0,0,
39,0.808,0.808,116,1.50716,114.493,0.144364,116,0.58,0.850526,0.808,0.270526,0,0,7.4815,0.270526,9.71796,97.1796,0,0,0,
40,0.948,0.948,166,11.5996,154.4,0.323646,166,0.83,0.997895,0.948,0.167895,0.29405,0,7.21097,0.167895,9.54291,95.4291,0,0,0,
41,1.272,1.272,0,0,0,0,0,0,1.33895,1.272,1.33895,0.476545,0,7.04308,1.33895,8.14697,81.4697,0,0,0,
42,1.66,1.66,0,0,0,0,0,0,0,0,0,1.93192,0,5.70413,0,8.14697,81.4697,0,0,0,
43,1.867,1.867,0,0,0,0,0,0,0,0,0,1.93192,0,5.70413,0,8.14697,81.4697,0,11.5,50,
44,1.83,1.83,0,0,0,0,0,0,0,0,0,1.93192,0,5.70413,0,8.14697,81.4697,3.3,14.635,63.6304,
