Time step,Net load,Load,Solar PV,Inverter AC,Battery,Electric vehicle,
0,0.683,0.683,0,0,0,0,
1,0.585,0.585,0,0,0,0,
2,0.549,0.549,0,0,0,0,
3,0.543,0.543,0,0,0,0,
4,0.54,0.54,0,0,0,0,
5,0.6,0.6,0,0,0,0,
6,0.828,0.828,0,0,0,0,
7,1.137,1.137,0,0,0,0,
8,0.53475,1.043,0.535,0.50825,0,0,
9,-0.46725,0.82,1.355,1.28725,0,0,
10,-1.05225,0.805,1.955,1.85725,0,0,
11,-1.48525,0.809,2.415,2.29425,0,0,
12,-1.7155,0.783,2.63,2.4985,0,0,
13,-1.58175,0.779,2.485,2.36075,0,0,
14,-1.30375,0.772,2.185,2.07575,0,0,
15,-0.15625,0.808,1.015,0.96425,0,0,
16,0,0.948,0.845,0.948,0.152895,0,
17,0,1.272,0,1.272,1.33895,0,
18,1.66,1.66,0,0,0,0,
19,1.867,1.867,0,0,0,0,
20,5.13,1.83,0,0,0,3.3,
21,4.896,1.596,0,0,0,3.3,
22,4.595,1.295,0,0,0,3.3,
23,3.19926,0.994,0,0,0,2.20526,
24,0.679,0.679,0,0,0,0,
25,0.569,0.569,0,0,0,0,
26,0.533,0.533,0,0,0,0,
27,0.524,0.524,0,0,0,0,
28,0.521,0.521,0,0,0,0,
29,0.578,0.578,0,0,0,0,
30,0.788,0.788,0,0,0,0,
31,1.108,1.108,0,0,0,0,
32,1.025,1.025,0.26,0,-0.26,0,
33,0.811,0.811,1.21,0,-1.21,0,
34,-0.728011,0.8,1.76,1.52801,-0.151568,0,
35,-1.14325,0.809,2.055,1.95225,0,0,
36,-0.46625,0.783,1.315,1.24925,0,0,
37,-0.47025,0.779,1.315,1.24925,0,0,
38,-0.4155,0.772,1.25,1.1875,0,0,
39,0,0.808,0.58,0.808,0.270526,0,
40,0,0.948,0.83,0.948,0.167895,0,
41,0,1.272,0,1.272,1.33895,0,
42,1.66,1.66,0,0,0,0,
43,1.867,1.867,0,0,0,0,
44,5.13,1.83,0,0,0,3.3,
45,4.896,1.596,0,0,0,3.3,
46,4.596,1.296,0,0,0,3.3,
47,3.20826,1.003,0,0,0,2.20526,
48,0.699,0.699,0,0,0,0,
49,0.597,0.597,0,0,0,0,
50,0.558,0.558,0,0,0,0,
51,0.548,0.548,0,0,0,0,
52,0.543,0.543,0,0,0,0,
53,0.597,0.597,0,0,0,0,
54,0.816,0.816,0,0,0,0,
55,1.126,1.126,0,0,0,0,
56,1.037,1.037,0.42,0,-0.42,0,
57,0.813,0.813,1.42,0,-1.42,0,
58,-0.870924,0.804,1.855,1.67492,-0.0919222,0,
59,-0.01825,0.813,0.875,0.83125,0,0,
60,-0.25725,0.783,1.095,1.04025,0,0,
61,-0.38475,0.779,1.225,1.16375,0,0,
62,-0.20175,0.772,1.025,0.97375,0,0,
63,0,0.808,0.735,0.808,0.115526,0,
64,0,0.948,0.885,0.948,0.112895,0,
65,0,1.272,0.005,1.272,1.33395,0,
66,1.66,1.66,0,0,0,0,
67,1.867,1.867,0,0,0,0,
68,5.13,1.83,0,0,0,3.3,
69,4.896,1.596,0,0,0,3.3,
70,4.595,1.295,0,0,0,3.3,
71,3.20626,1.001,0,0,0,2.20526,
72,0.701,0.701,0,0,0,0,
73,0.599,0.599,0,0,0,0,
74,0.563,0.563,0,0,0,0,
75,0.559,0.559,0,0,0,0,
76,0.556,0.556,0,0,0,0,
77,0.612,0.612,0,0,0,0,
78,0.837,0.837,0,0,0,0,
79,1.146,1.146,0,0,0,0,
80,1.047,1.047,0.53,0,-0.53,0,
81,0.650565,0.828,1.355,0.177435,-1.16823,0,
82,-1.08,0.82,2,1.9,0,0,
83,-1.509,0.809,2.44,2.318,0,0,
84,-1.71075,0.783,2.625,2.49375,0,0,
85,-1.55325,0.779,2.455,2.33225,0,0,
86,-1.29425,0.772,2.175,2.06625,0,0,
87,-0.655,0.808,1.54,1.463,0,0,
88,0,0.948,0.87,0.948,0.127895,0,
89,0,1.272,0.005,1.272,1.33395,0,
90,1.66,1.66,0,0,0,0,
91,1.867,1.867,0,0,0,0,
92,5.13,1.83,0,0,0,3.3,
93,4.896,1.596,0,0,0,3.3,
94,4.595,1.295,0,0,0,3.3,
95,3.20026,0.995,0,0,0,2.20526,
96,0.697,0.697,0,0,0,0,
97,0.596,0.596,0,0,0,0,
98,0.562,0.562,0,0,0,0,
99,0.56,0.56,0,0,0,0,
100,0.555,0.555,0,0,0,0,
101,0.616,0.616,0,0,0,0,
102,0.848,0.848,0,0,0,0,
103,1.171,1.171,0,0,0,0,
104,1.078,1.078,0.52,0,-0.52,0,
105,0.622011,0.87,1.33,0.247989,-1.06896,0,
106,-1.0075,0.864,1.97,1.8715,0,0,
107,-1.456,0.862,2.44,2.318,0,0,
108,-1.52975,0.831,2.485,2.36075,0,0,
109,-1.67075,0.823,2.625,2.49375,0,0,
110,-1.25725,0.809,2.175,2.06625,0,0,
111,-0.57225,0.848,1.495,1.42025,0,0,
112,0,0.984,0.845,0.984,0.190789,0,
113,0,1.308,0.01,1.308,1.36684,0,
114,1.695,1.695,0,0,0,0,
115,1.902,1.902,0,0,0,0,
116,5.166,1.866,0,0,0,3.3,
117,4.931,1.631,0,0,0,3.3,
118,4.624,1.324,0,0,0,3.3,
119,3.21926,1.014,0,0,0,2.20526,
120,0.708,0.708,0,0,0,0,
121,0.607,0.607,0,0,0,0,
122,0.572,0.572,0,0,0,0,
123,0.563,0.563,0,0,0,0,
124,0.565,0.565,0,0,0,0,
125,0.627,0.627,0,0,0,0,
126,0.86,0.86,0,0,0,0,
127,1.177,1.177,0,0,0,0,
128,1.106,1.106,0.29,0,-0.29,0,
129,0.880674,0.892,1.415,0.0113261,-1.40308,0,
130,-0.87625,0.886,1.855,1.76225,0,0,
131,-1.52725,0.862,2.515,2.38925,0,0,
132,-1.50125,0.831,2.455,2.33225,0,0,
133,-1.5045,0.823,2.45,2.3275,0,0,
134,-1.09575,0.809,2.005,1.90475,0,0,
135,-0.60075,0.848,1.525,1.44875,0,0,
136,0,0.984,0.905,0.984,0.130789,0,
137,0,1.308,0.01,1.308,1.36684,0,
138,1.695,1.695,0,0,0,0,
139,1.902,1.902,0,0,0,0,
140,5.166,1.866,0,0,0,3.3,
141,4.931,1.631,0,0,0,3.3,
142,4.624,1.324,0,0,0,3.3,
143,3.21726,1.012,0,0,0,2.20526,
144,0.697,0.697,0,0,0,0,
145,0.596,0.596,0,0,0,0,
146,0.561,0.561,0,0,0,0,
147,0.557,0.557,0,0,0,0,
148,0.555,0.555,0,0,0,0,
149,0.612,0.612,0,0,0,0,
150,0.836,0.836,0,0,0,0,
151,1.149,1.149,0,0,0,0,
152,1.055,1.055,0.505,0,-0.505,0,
153,0.837,0.837,1.105,0,-1.105,0,
154,-0.805283,0.826,1.735,1.63128,-0.0178604,0,
155,-0.92275,0.811,1.825,1.73375,0,0,
156,-1.75825,0.783,2.675,2.54125,0,0,
157,-1.21125,0.779,2.095,1.99025,0,0,
158,-0.80025,0.772,1.655,1.57225,0,0,
159,-0.74525,0.808,1.635,1.55325,0,0,
160,0,0.948,0.88,0.948,0.117895,0,
161,0,1.272,0.015,1.272,1.32395,0,
162,1.66,1.66,0,0,0,0,
163,1.867,1.867,0,0,0,0,
164,5.13,1.83,0,0,0,3.3,
165,4.896,1.596,0,0,0,3.3,
166,4.595,1.295,0,0,0,3.3,
167,3.19926,0.994,0,0,0,2.20526,
168,0.679,0.679,0,0,0,0,
169,0.566,0.566,0,0,0,0,
170,0.526,0.526,0,0,0,0,
171,0.525,0.525,0,0,0,0,
172,0.522,0.522,0,0,0,0,
173,0.582,0.582,0,0,0,0,
174,0.808,0.808,0,0,0,0,
175,1.123,1.123,0,0,0,0,
176,1.022,1.022,0.565,0,-0.565,0,
177,0.429859,0.803,1.395,0.373141,-1.00222,0,
178,-1.119,0.8,2.02,1.919,0,0,
179,-1.58025,0.809,2.515,2.38925,0,0,
180,-1.782,0.783,2.7,2.565,0,0,
181,-1.596,0.779,2.5,2.375,0,0,
182,-1.375,0.772,2.26,2.147,0,0,
183,-0.7405,0.808,1.63,1.5485,0,0,
184,0,0.948,0.935,0.948,0.0628947,0,
185,0,1.272,0.02,1.272,1.31895,0,
186,1.66,1.66,0,0,0,0,
187,1.867,1.867,0,0,0,0,
188,5.13,1.83,0,0,0,3.3,
189,4.896,1.596,0,0,0,3.3,
190,4.595,1.295,0,0,0,3.3,
191,3.19926,0.994,0,0,0,2.20526,
192,0.679,0.679,0,0,0,0,
193,0.566,0.566,0,0,0,0,
194,0.519,0.519,0,0,0,0,
195,0.504,0.504,0,0,0,0,
196,0.491,0.491,0,0,0,0,
197,0.544,0.544,0,0,0,0,
198,0.759,0.759,0,0,0,0,
199,1.08,1.08,0,0,0,0,
200,0.998,0.998,0.385,0,-0.385,0,
201,0.795402,0.803,1.125,0.00759783,-1.117,0,
202,-0.91475,0.8,1.805,1.71475,0,0,
203,-1.11475,0.809,2.025,1.92375,0,0,
204,-0.97925,0.783,1.855,1.76225,0,0,
205,-0.9595,0.779,1.83,1.7385,0,0,
206,-0.7955,0.772,1.65,1.5675,0,0,
207,-0.2655,0.808,1.13,1.0735,0,0,
208,0,0.948,0.92,0.948,0.0778947,0,
209,0,1.272,0.02,1.272,1.31895,0,
210,1.66,1.66,0,0,0,0,
211,1.867,1.867,0,0,0,0,
212,5.13,1.83,0,0,0,3.3,
213,4.896,1.596,0,0,0,3.3,
214,4.595,1.295,0,0,0,3.3,
215,3.19926,0.994,0,0,0,2.20526,
216,0.679,0.679,0,0,0,0,
217,0.566,0.566,0,0,0,0,
218,0.519,0.519,0,0,0,0,
219,0.504,0.504,0,0,0,0,
220,0.491,0.491,0,0,0,0,
221,0.544,0.544,0,0,0,0,
222,0.757,0.757,0,0,0,0,
223,1.079,1.079,0,0,0,0,
224,1.001,1.001,0.085,0,-0.085,0,
225,0.805,0.805,0.565,0,-0.565,0,
226,0.751141,0.805,0.925,0.0538587,-0.868307,0,
227,-1.50425,0.809,2.435,2.31325,0,0,
228,-1.80575,0.783,2.725,2.58875,0,0,
229,-1.70525,0.779,2.615,2.48425,0,0,
230,-1.21825,0.772,2.095,1.99025,0,0,
231,0,0.808,0.26,0.808,0.590526,0,
232,0,0.948,0.14,0.948,0.857895,0,
233,0,1.272,0.005,1.272,1.33395,0,
234,1.66,1.66,0,0,0,0,
235,1.867,1.867,0,0,0,0,
236,5.13,1.83,0,0,0,3.3,
237,4.896,1.596,0,0,0,3.3,
238,4.595,1.295,0,0,0,3.3,
239,3.19926,0.994,0,0,0,2.20526,
240,0.679,0.679,0,0,0,0,
241,0.566,0.566,0,0,0,0,
