Time step,Total load requested [kW],Total load served [kW],SolarResource global horizontal radiation [W/m2],SolarResource direct horizontal radiation [W/m2],SolarResource diffuse horizontal radiation [W/m2],SolarResource clearness index [-],SolarPV incident radiation [kW/m2],SolarPV power output [kW],Converter input [kW],Converter output [kW],Battery output power [kW],Battery max charge power [kW],Battery charge power [kW],Battery max discharge power [kW],Battery discharge power [kW],Battery capacity as energy [kWh],Battery capacity as fraction [%],ElectricVehicle charge power [kW],ElectricVehicle capacity as energy [kWh],ElectricVehicle capacity as fraction [%],
0,0.683,0.683,0,0,0,0,0,0,0,0,0,0,0,8.28973,0,11,100,0,25,100,
1,0.585,0.585,0,0,0,0,0,0,0,0,0,0,0,8.28973,0,11,100,0,25,100,
2,0.549,0.549,0,0,0,0,0,0,0,0,0,0,0,8.28973,0,11,100,0,25,100,
3,0.543,0.543,0,0,0,0,0,0,0,0,0,0,0,8.28973,0,11,100,0,25,100,
4,0.54,0.54,0,0,0,0,0,0,0,0,0,0,0,8.28973,0,11,100,0,0,0,
5,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,8.28973,0,11,100,0,0,0,
6,0.828,0.828,0,0,0,0,0,0,0,0,0,0,0,8.28973,0,11,100,0,0,0,
7,1.137,1.137,0,0,0,0,0,0,0,0,0,0,0,8.28973,0,11,100,0,0,0,
8,1.043,1.043,107,1.32628,105.674,0.137724,107,0.749,0.749,0.71904,0,0,0,8.28973,0,11,100,0,0,0,
9,0.82,0.82,271,8.80264,262.197,0.266016,271,1.897,1.897,1.82112,0,0,0,8.28973,0,11,100,0,0,0,
10,0.805,0.805,391,28.9298,362.07,0.328245,391,2.737,2.737,2.62752,0,0,0,8.28973,0,11,100,0,0,0,
11,0.809,0.809,483,61.5862,421.414,0.376605,483,3.381,3.381,3.24576,0,0,0,8.28973,0,11,100,0,0,0,
12,0.783,0.783,526,91.2103,434.79,0.408863,526,3.682,3.682,3.53472,0,0,0,8.28973,0,11,100,0,0,0,
13,0.779,0.779,497,89.5296,407.47,0.413183,497,3.479,3.479,3.33984,0,0,0,8.28973,0,11,100,0,0,0,
14,0.772,0.772,437,84.4029,352.597,0.42129,437,3.059,3.059,2.93664,0,0,0,8.28973,0,11,100,0,0,0,
15,0.808,0.808,203,5.61216,197.388,0.25341,203,1.421,1.421,1.36416,0,0,0,8.28973,0,11,100,0,0,0,
16,0.948,0.948,169,12.9641,156.036,0.331189,169,1.183,1.183,1.13568,0,0,0,8.28973,0,11,100,0,0,0,
17,1.272,1.272,0,0,0,0,0,0,1.325,1.272,1.325,0,0,8.28973,1.325,9.61102,87.3729,0,0,0,
18,1.66,1.66,0,0,0,0,0,0,0,0,0,1.45604,0,6.96473,0,9.61102,87.3729,0,0,0,
19,1.867,1.867,0,0,0,0,0,0,0,0,0,1.45604,0,6.96473,0,9.61102,87.3729,0,12.75,51,
20,1.83,1.83,0,0,0,0,0,0,0,0,0,1.45604,0,6.96473,0,9.61102,87.3729,3.3,15.918,63.672,
21,1.596,1.596,0,0,0,0,0,0,0,0,0,1.45604,0,6.96473,0,9.61102,87.3729,3.3,19.086,76.344,
22,1.295,1.295,0,0,0,0,0,0,0,0,0,1.45604,0,6.96473,0,9.61102,87.3729,3.3,22.254,89.016,
23,0.994,0.994,0,0,0,0,0,0,0,0,0,1.45604,0,6.96473,0,9.61102,87.3729,2.86042,25,100,
24,0.679,0.679,0,0,0,0,0,0,0,0,0,1.45604,0,6.96473,0,9.61102,87.3729,0,25,100,
25,0.569,0.569,0,0,0,0,0,0,0,0,0,1.45604,0,6.96473,0,9.61102,87.3729,0,25,100,
26,0.533,0.533,0,0,0,0,0,0,0,0,0,1.45604,0,6.96473,0,9.61102,87.3729,0,25,100,
27,0.524,0.524,0,0,0,0,0,0,0,0,0,1.45604,0,6.96473,0,9.61102,87.3729,0,25,100,
28,0.521,0.521,0,0,0,0,0,0,0,0,0,1.45604,0,6.96473,0,9.61102,87.3729,0,0,0,
29,0.578,0.578,0,0,0,0,0,0,0,0,0,1.45604,0,6.96473,0,9.61102,87.3729,0,0,0,
30,0.788,0.788,0,0,0,0,0,0,0,0,0,1.45604,0,6.96473,0,9.61102,87.3729,0,0,0,
31,1.108,1.108,0,0,0,0,0,0,0,0,0,1.45604,0,6.96473,0,9.61102,87.3729,0,0,0,
32,1.025,1.025,52,0.313885,51.6861,0.0670694,52,0.364,0,0,-0.364,1.45604,0.364,6.96473,0,9.95826,90.5296,0,0,0,
33,0.811,0.811,242,5.61232,236.388,0.237782,242,1.694,0.601956,0.577878,-1.09204,1.09204,1.09204,7.29597,0,11,100,0,0,0,
34,0.8,0.8,352,17.0529,334.947,0.295586,352,2.464,2.464,2.36544,0,0,0,8.28973,0,11,100,0,0,0,
35,0.809,0.809,411,27.5601,383.44,0.320375,411,2.877,2.877,2.76192,0,0,0,8.28973,0,11,100,0,0,0,
36,0.783,0.783,263,4.83503,258.165,0.204268,263,1.841,1.841,1.76736,0,0,0,8.28973,0,11,100,0,0,0,
37,0.779,0.779,263,5.16837,257.832,0.218351,263,1.841,1.841,1.76736,0,0,0,8.28973,0,11,100,0,0,0,
38,0.772,0.772,250,5.96327,244.037,0.240523,250,1.75,1.75,1.68,0,0,0,8.28973,0,11,100,0,0,0,
39,0.808,0.808,116,1.50716,114.493,0.144364,116,0.812,0.841667,0.808,0.0296667,0,0,8.28973,0.0296667,10.9689,99.7173,0,0,0,
40,0.948,0.948,166,11.5996,154.4,0.323646,166,1.162,1.1294,1.08422,-0.0326007,0.0326007,0.0326007,8.26006,0,11,100,0,0,0,
41,1.272,1.272,0,0,0,0,0,0,1.325,1.272,1.325,0,0,8.28973,1.325,9.61102,87.3729,0,0,0,
42,1.66,1.66,0,0,0,0,0,0,0,0,0,1.45604,0,6.96473,0,9.61102,87.3729,0,0,0,
43,1.867,1.867,0,0,0,0,0,0,0,0,0,1.45604,0,6.96473,0,9.61102,87.3729,0,12.75,51,
44,1.83,1.83,0,0,0,0,0,0,0,0,0,1.45604,0,6.96473,0,9.61102,87.3729,3.3,15.918,63.672,
45,1.596,1.596,0,0,0,0,0,0,0,0,0,1.45604,0,6.96473,0,9.61102,87.3729,3.3,19.086,76.344,
46,1.296,1.296,0,0,0,0,0,0,0,0,0,1.45604,0,6.96473,0,9.61102,87.3729,3.3,22.254,89.016,
47,1.003,1.003,0,0,0,0,0,0,0,0,0,1.45604,0,6.96473,0,9.61102,87.3729,2.86042,25,100,
48,0.699,0.699,0,0,0,0,0,0,0,0,0,1.45604,0,6.96473,0,9.61102,87.3729,0,25,100,
49,0.597,0.597,0,0,0,0,0,0,0,0,0,1.45604,0,6.96473,0,9.61102,87.3729,0,25,100,
50,0.558,0.558,0,0,0,0,0,0,0,0,0,1.45604,0,6.96473,0,9.61102,87.3729,0,25,100,
51,0.548,0.548,0,0,0,0,0,0,0,0,0,1.45604,0,6.96473,0,9.61102,87.3729,0,25,100,
52,0.543,0.543,0,0,0,0,0,0,0,0,0,1.45604,0,6.96473,0,9.61102,87.3729,0,0,0,
53,0.597,0.597,0,0,0,0,0,0,0,0,0,1.45604,0,6.96473,0,9.61102,87.3729,0,0,0,
