Time step,Total load,Net load,Solar PV,Inverter AC,Battery,Electric vehicle,
0,0.683,0.683,0,0,0,0,
1,0.585,0.585,0,0,0,0,
2,0.549,0.549,0,0,0,0,
3,0.543,0.543,0,0,0,0,
4,0.54,0.54,0,0,0,0,
5,0.6,0.6,0,0,0,0,
6,0.828,0.828,0,0,0,0,
7,1.137,1.137,0,0,0,0,
8,1.043,0.32396,0.749,0.71904,0,0,
9,0.82,-1.00112,1.897,1.82112,0,0,
10,0.805,-1.82252,2.737,2.62752,0,0,
11,0.809,-2.43676,3.381,3.24576,0,0,
12,0.783,-2.75172,3.682,3.53472,0,0,
13,0.779,-2.56084,3.479,3.33984,0,0,
14,0.772,-2.16464,3.059,2.93664,0,0,
15,0.808,-0.55616,1.421,1.36416,0,0,
16,0.948,-0.18768,1.183,1.13568,0,0,
17,1.272,0,0,1.272,1.325,0,
18,1.66,1.66,0,0,0,0,
19,1.867,1.867,0,0,0,0,
20,1.83,5.13,0,0,0,3.3,
21,1.596,4.896,0,0,0,3.3,
22,1.295,4.595,0,0,0,3.3,
23,0.994,3.85442,0,0,0,2.86042,
24,0.679,0.679,0,0,0,0,
25,0.569,0.569,0,0,0,0,
26,0.533,0.533,0,0,0,0,
27,0.524,0.524,0,0,0,0,
28,0.521,0.521,0,0,0,0,
29,0.578,0.578,0,0,0,0,
30,0.788,0.788,0,0,0,0,
31,1.108,1.108,0,0,0,0,
32,1.025,1.025,0.364,0,-0.364,0,
33,0.811,0.233122,1.694,0.577878,-1.09204,0,
34,0.8,-1.56544,2.464,2.36544,0,0,
35,0.809,-1.95292,2.877,2.76192,0,0,
36,0.783,-0.98436,1.841,1.76736,0,0,
37,0.779,-0.98836,1.841,1.76736,0,0,
38,0.772,-0.908,1.75,1.68,0,0,
39,0.808,0,0.812,0.808,0.0296667,0,
40,0.948,-0.136223,1.162,1.08422,-0.0326007,0,
41,1.272,0,0,1.272,1.325,0,
42,1.66,1.66,0,0,0,0,
43,1.867,1.867,0,0,0,0,
44,1.83,5.13,0,0,0,3.3,
45,1.596,4.896,0,0,0,3.3,
46,1.296,4.596,0,0,0,3.3,
47,1.003,3.86342,0,0,0,2.86042,
48,0.699,0.699,0,0,0,0,
49,0.597,0.597,0,0,0,0,
50,0.558,0.558,0,0,0,0,
51,0.548,0.548,0,0,0,0,
52,0.543,0.543,0,0,0,0,
53,0.597,0.597,0,0,0,0,
54,0.816,0.816,0,0,0,0,
55,1.126,1.126,0,0,0,0,
56,1.037,1.037,0.588,0,-0.588,0,
57,0.813,-0.262158,1.988,1.07516,-0.868044,0,
58,0.804,-1.68912,2.597,2.49312,0,0,
59,0.813,-0.363,1.225,1.176,0,0,
60,0.783,-0.68868,1.533,1.47168,0,0,
61,0.779,-0.8674,1.715,1.6464,0,0,
62,0.772,-0.6056,1.435,1.3776,0,0,
63,0.808,-0.17984,1.029,0.98784,0,0,
64,0.948,-0.24144,1.239,1.18944,0,0,
65,1.272,0,0.007,1.272,1.318,0,
66,1.66,1.66,0,0,0,0,
67,1.867,1.867,0,0,0,0,
68,1.83,5.13,0,0,0,3.3,
69,1.596,4.896,0,0,0,3.3,
70,1.295,4.595,0,0,0,3.3,
71,1.001,3.86142,0,0,0,2.86042,
72,0.701,0.701,0,0,0,0,
73,0.599,0.599,0,0,0,0,
74,0.563,0.563,0,0,0,0,
75,0.559,0.559,0,0,0,0,
76,0.556,0.556,0,0,0,0,
77,0.612,0.612,0,0,0,0,
78,0.837,0.837,0,0,0,0,
79,1.146,1.146,0,0,0,0,
80,1.047,1.047,0.742,0,-0.742,0,
81,0.828,-0.315022,1.897,1.14302,-0.706352,0,
82,0.82,-1.868,2.8,2.688,0,0,
83,0.809,-2.47036,3.416,3.27936,0,0,
84,0.783,-2.745,3.675,3.528,0,0,
85,0.779,-2.52052,3.437,3.29952,0,0,
86,0.772,-2.1512,3.045,2.9232,0,0,
87,0.808,-1.26176,2.156,2.06976,0,0,
88,0.948,-0.22128,1.218,1.16928,0,0,
89,1.272,0,0.007,1.272,1.318,0,
90,1.66,1.66,0,0,0,0,
91,1.867,1.867,0,0,0,0,
92,1.83,5.13,0,0,0,3.3,
93,1.596,4.896,0,0,0,3.3,
94,1.295,4.595,0,0,0,3.3,
95,0.995,3.85542,0,0,0,2.86042,
96,0.697,0.697,0,0,0,0,
97,0.596,0.596,0,0,0,0,
98,0.562,0.562,0,0,0,0,
99,0.56,0.56,0,0,0,0,
100,0.555,0.555,0,0,0,0,
101,0.616,0.616,0,0,0,0,
102,0.848,0.848,0,0,0,0,
103,1.171,1.171,0,0,0,0,
104,1.078,1.078,0.728,0,-0.728,0,
105,0.87,-0.225982,1.862,1.09598,-0.720352,0,
106,0.864,-1.78368,2.758,2.64768,0,0,
107,0.862,-2.41736,3.416,3.27936,0,0,
108,0.831,-2.50884,3.479,3.33984,0,0,
109,0.823,-2.705,3.675,3.528,0,0,
110,0.809,-2.1142,3.045,2.9232,0,0,
111,0.848,-1.16128,2.093,2.00928,0,0,
112,0.984,-0.15168,1.183,1.13568,0,0,
113,1.308,0,0.014,1.308,1.3485,0,
114,1.695,1.695,0,0,0,0,
115,1.902,1.902,0,0,0,0,
116,1.866,5.166,0,0,0,3.3,
117,1.631,4.931,0,0,0,3.3,
118,1.324,4.624,0,0,0,3.3,
119,1.014,3.87442,0,0,0,2.86042,
120,0.708,0.708,0,0,0,0,
121,0.607,0.607,0,0,0,0,
122,0.572,0.572,0,0,0,0,
123,0.563,0.563,0,0,0,0,
124,0.565,0.565,0,0,0,0,
125,0.627,0.627,0,0,0,0,
126,0.86,0.86,0,0,0,0,
127,1.177,1.177,0,0,0,0,
128,1.106,1.106,0.406,0,-0.406,0,
129,0.892,0.0230734,1.981,0.868927,-1.07587,0,
130,0.886,-1.60712,2.597,2.49312,0,0,
131,0.862,-2.51816,3.521,3.38016,0,0,
132,0.831,-2.46852,3.437,3.29952,0,0,
133,0.823,-2.4698,3.43,3.2928,0,0,
134,0.809,-1.88572,2.807,2.69472,0,0,
135,0.848,-1.2016,2.135,2.0496,0,0,
136,0.984,-0.23232,1.267,1.21632,0,0,
137,1.308,0,0.014,1.308,1.3485,0,
138,1.695,1.695,0,0,0,0,
139,1.902,1.902,0,0,0,0,
140,1.866,5.166,0,0,0,3.3,
141,1.631,4.931,0,0,0,3.3,
142,1.324,4.624,0,0,0,3.3,
143,1.012,3.87242,0,0,0,2.86042,
144,0.697,0.697,0,0,0,0,
145,0.596,0.596,0,0,0,0,
146,0.561,0.561,0,0,0,0,
147,0.557,0.557,0,0,0,0,
148,0.555,0.555,0,0,0,0,
149,0.612,0.612,0,0,0,0,
150,0.836,0.836,0,0,0,0,
151,1.149,1.149,0,0,0,0,
152,1.055,1.055,0.707,0,-0.707,0,
153,0.837,0.0957534,1.547,0.741247,-0.774868,0,
154,0.826,-1.50584,2.429,2.33184,0,0,
155,0.811,-1.6418,2.555,2.4528,0,0,
156,0.783,-2.8122,3.745,3.5952,0,0,
157,0.779,-2.03668,2.933,2.81568,0,0,
158,0.772,-1.45232,2.317,2.22432,0,0,
159,0.808,-1.38944,2.289,2.19744,0,0,
160,0.948,-0.23472,1.232,1.18272,0,0,
161,1.272,0,0.021,1.272,1.304,0,
162,1.66,1.66,0,0,0,0,
163,1.867,1.867,0,0,0,0,
164,1.83,5.13,0,0,0,3.3,
165,1.596,4.896,0,0,0,3.3,
166,1.295,4.595,0,0,0,3.3,
167,0.994,3.85442,0,0,0,2.86042,
168,0.679,0.679,0,0,0,0,
169,0.566,0.566,0,0,0,0,
170,0.526,0.526,0,0,0,0,
171,0.525,0.525,0,0,0,0,
172,0.522,0.522,0,0,0,0,
173,0.582,0.582,0,0,0,0,
174,0.808,0.808,0,0,0,0,
175,1.123,1.123,0,0,0,0,
176,1.022,1.022,0.791,0,-0.791,0,
177,0.803,-0.455592,1.953,1.25859,-0.641967,0,
178,0.8,-1.91488,2.828,2.71488,0,0,
179,0.809,-2.57116,3.521,3.38016,0,0,
180,0.783,-2.8458,3.78,3.6288,0,0,
181,0.779,-2.581,3.5,3.36,0,0,
182,0.772,-2.26544,3.164,3.03744,0,0,
183,0.808,-1.38272,2.282,2.19072,0,0,
184,0.948,-0.30864,1.309,1.25664,0,0,
185,1.272,0,0.028,1.272,1.297,0,
186,1.66,1.66,0,0,0,0,
187,1.867,1.867,0,0,0,0,
188,1.83,5.13,0,0,0,3.3,
189,1.596,4.896,0,0,0,3.3,
190,1.295,4.595,0,0,0,3.3,
191,0.994,3.85442,0,0,0,2.86042,
192,0.679,0.679,0,0,0,0,
193,0.566,0.566,0,0,0,0,
194,0.519,0.519,0,0,0,0,
195,0.504,0.504,0,0,0,0,
196,0.491,0.491,0,0,0,0,
197,0.544,0.544,0,0,0,0,
198,0.759,0.759,0,0,0,0,
199,1.08,1.08,0,0,0,0,
200,0.998,0.998,0.539,0,-0.539,0,
201,0.803,0.141824,1.575,0.661176,-0.886275,0,
202,0.8,-1.62592,2.527,2.42592,0,0,
203,0.809,-1.9126,2.835,2.7216,0,0,
204,0.783,-1.71012,2.597,2.49312,0,0,
205,0.779,-1.68052,2.562,2.45952,0,0,
206,0.772,-1.4456,2.31,2.2176,0,0,
207,0.808,-0.71072,1.582,1.51872,0,0,
208,0.948,-0.28848,1.288,1.23648,0,0,
209,1.272,0,0.028,1.272,1.297,0,
210,1.66,1.66,0,0,0,0,
211,1.867,1.867,0,0,0,0,
212,1.83,5.13,0,0,0,3.3,
213,1.596,4.896,0,0,0,3.3,
214,1.295,4.595,0,0,0,3.3,
215,0.994,3.85442,0,0,0,2.86042,
216,0.679,0.679,0,0,0,0,
217,0.566,0.566,0,0,0,0,
218,0.519,0.519,0,0,0,0,
219,0.504,0.504,0,0,0,0,
220,0.491,0.491,0,0,0,0,
221,0.544,0.544,0,0,0,0,
222,0.757,0.757,0,0,0,0,
223,1.079,1.079,0,0,0,0,
224,1.001,1.001,0.119,0,-0.119,0,
225,0.805,0.805,0.791,0,-0.791,0,
226,0.805,0.0564637,1.295,0.748536,-0.515275,0,
227,0.809,-2.46364,3.409,3.27264,0,0,
228,0.783,-2.8794,3.815,3.6624,0,0,
229,0.779,-2.73556,3.661,3.51456,0,0,
230,0.772,-2.04368,2.933,2.81568,0,0,
231,0.808,0,0.364,0.808,0.477667,0,
232,0.948,1.11022e-016,0.196,0.948,0.7915,0,
233,1.272,0,0.007,1.272,1.318,0,
234,1.66,1.66,0,0,0,0,
235,1.867,1.867,0,0,0,0,
236,1.83,5.13,0,0,0,3.3,
237,1.596,4.896,0,0,0,3.3,
238,1.295,4.595,0,0,0,3.3,
239,0.994,3.85442,0,0,0,2.86042,
