Time step,Total load requested [kW],Total load served [kW],Battery output power [kW],Battery max charge power [kW],Battery charge power [kW],Battery max discharge power [kW],Battery discharge power [kW],Battery capacity as energy [kWh],Battery capacity as fraction [%],ElectricVehicle charge power [kW],ElectricVehicle capacity as energy [kWh],ElectricVehicle capacity as fraction [%],
0,84.692,84.692,0,0,0,0,0,1240,100,0,2976,100,
1,72.54,72.54,0,0,0,0,0,0,0,0,2976,100,
2,68.076,68.076,0,0,0,0,0,0,0,0,2976,100,
3,67.332,67.332,0,0,0,0,0,0,0,0,2976,100,
4,66.96,66.96,0,0,0,0,0,0,0,0,0,0,
5,74.4,74.4,0,0,0,0,0,0,0,0,0,0,
6,102.672,102.672,0,0,0,0,0,0,0,0,0,0,
7,140.988,140.988,0,0,0,0,0,0,0,0,0,0,
8,129.332,129.332,0,0,0,0,0,0,0,0,0,0,
9,101.68,101.68,0,0,0,0,0,0,0,0,0,0,
10,99.82,99.82,0,0,0,0,0,0,0,0,0,0,
11,100.316,100.316,0,0,0,0,0,0,0,0,0,0,
12,97.092,97.092,0,0,0,0,0,0,0,0,0,0,
13,96.596,96.596,0,0,0,0,0,0,0,0,0,0,
14,95.728,95.728,0,0,0,0,0,0,0,0,0,0,
15,100.192,100.192,0,0,0,0,0,0,0,0,0,0,
16,117.552,117.552,0,0,0,0,0,0,0,0,0,0,
17,157.728,157.728,0,0,0,0,0,0,0,0,0,0,
18,205.84,205.84,0,0,0,0,0,0,0,0,0,0,
19,231.508,231.508,0,0,0,0,0,0,0,0,1488,50,
20,226.92,226.92,0,0,0,0,0,0,0,409.2,1876.74,63.0625,
21,197.904,197.904,0,0,0,0,0,0,0,409.2,2265.48,76.125,
22,160.58,160.58,0,0,0,0,0,0,0,409.2,2654.22,89.1875,
23,123.256,123.256,0,0,0,0,0,0,0,338.716,2976,100,
24,84.196,84.196,0,0,0,0,0,0,0,0,2976,100,
25,70.556,70.556,0,0,0,0,0,0,0,0,2976,100,
26,66.092,66.092,0,0,0,0,0,0,0,0,2976,100,
27,64.976,64.976,0,0,0,0,0,0,0,0,2976,100,
28,64.604,64.604,0,0,0,0,0,0,0,0,0,0,
29,71.672,71.672,0,0,0,0,0,0,0,0,0,0,
30,97.712,97.712,0,0,0,0,0,0,0,0,0,0,
31,137.392,137.392,0,0,0,0,0,0,0,0,0,0,
32,127.1,127.1,0,0,0,0,0,0,0,0,0,0,
33,100.564,100.564,0,0,0,0,0,0,0,0,0,0,
34,99.2,99.2,0,0,0,0,0,0,0,0,0,0,
35,100.316,100.316,0,0,0,0,0,0,0,0,0,0,
36,97.092,97.092,0,0,0,0,0,0,0,0,0,0,
37,96.596,96.596,0,0,0,0,0,0,0,0,0,0,
38,95.728,95.728,0,0,0,0,0,0,0,0,0,0,
39,100.192,100.192,0,0,0,0,0,0,0,0,0,0,
40,117.552,117.552,0,0,0,0,0,0,0,0,0,0,
41,157.728,157.728,0,0,0,0,0,0,0,0,0,0,
42,205.84,205.84,0,0,0,0,0,0,0,0,0,0,
43,231.508,231.508,0,0,0,0,0,0,0,0,1488,50,
44,226.92,226.92,0,0,0,0,0,0,0,409.2,1876.74,63.0625,
45,197.904,197.904,0,0,0,0,0,0,0,409.2,2265.48,76.125,
46,160.704,160.704,0,0,0,0,0,0,0,409.2,2654.22,89.1875,
47,124.372,124.372,0,0,0,0,0,0,0,338.716,2976,100,
48,86.676,86.676,0,0,0,0,0,0,0,0,2976,100,
49,74.028,74.028,0,0,0,0,0,0,0,0,2976,100,
50,69.192,69.192,0,0,0,0,0,0,0,0,2976,100,
51,67.952,67.952,0,0,0,0,0,0,0,0,2976,100,
52,67.332,67.332,0,0,0,0,0,0,0,0,0,0,
53,74.028,74.028,0,0,0,0,0,0,0,0,0,0,
54,101.184,101.184,0,0,0,0,0,0,0,0,0,0,
55,139.624,139.624,0,0,0,0,0,0,0,0,0,0,
56,128.588,128.588,0,0,0,0,0,0,0,0,0,0,
57,100.812,100.812,0,0,0,0,0,0,0,0,0,0,
58,99.696,99.696,0,0,0,0,0,0,0,0,0,0,
59,100.812,100.812,0,0,0,0,0,0,0,0,0,0,
60,97.092,97.092,0,0,0,0,0,0,0,0,0,0,
61,96.596,96.596,0,0,0,0,0,0,0,0,0,0,
62,95.728,95.728,0,0,0,0,0,0,0,0,0,0,
63,100.192,100.192,0,0,0,0,0,0,0,0,0,0,
64,117.552,117.552,0,0,0,0,0,0,0,0,0,0,
65,157.728,157.728,0,0,0,0,0,0,0,0,0,0,
66,205.84,205.84,0,0,0,0,0,0,0,0,0,0,
67,231.508,231.508,0,0,0,0,0,0,0,0,1488,50,
68,226.92,226.92,0,0,0,0,0,0,0,409.2,1876.74,63.0625,
69,197.904,197.904,0,0,0,0,0,0,0,409.2,2265.48,76.125,
70,160.58,160.58,0,0,0,0,0,0,0,409.2,2654.22,89.1875,
71,124.124,124.124,0,0,0,0,0,0,0,338.716,2976,100,
72,86.924,86.924,0,0,0,0,0,0,0,0,2976,100,
73,74.276,74.276,0,0,0,0,0,0,0,0,2976,100,
74,69.812,69.812,0,0,0,0,0,0,0,0,2976,100,
75,69.316,69.316,0,0,0,0,0,0,0,0,2976,100,
76,68.944,68.944,0,0,0,0,0,0,0,0,0,0,
77,75.888,75.888,0,0,0,0,0,0,0,0,0,0,
78,103.788,103.788,0,0,0,0,0,0,0,0,0,0,
79,142.104,142.104,0,0,0,0,0,0,0,0,0,0,
80,129.828,129.828,0,0,0,0,0,0,0,0,0,0,
81,102.672,102.672,0,0,0,0,0,0,0,0,0,0,
82,101.68,101.68,0,0,0,0,0,0,0,0,0,0,
83,100.316,100.316,0,0,0,0,0,0,0,0,0,0,
84,97.092,97.092,0,0,0,0,0,0,0,0,0,0,
85,96.596,96.596,0,0,0,0,0,0,0,0,0,0,
86,95.728,95.728,0,0,0,0,0,0,0,0,0,0,
87,100.192,100.192,0,0,0,0,0,0,0,0,0,0,
88,117.552,117.552,0,0,0,0,0,0,0,0,0,0,
89,157.728,157.728,0,0,0,0,0,0,0,0,0,0,
90,205.84,205.84,0,0,0,0,0,0,0,0,0,0,
91,231.508,231.508,0,0,0,0,0,0,0,0,1488,50,
92,226.92,226.92,0,0,0,0,0,0,0,409.2,1876.74,63.0625,
93,197.904,197.904,0,0,0,0,0,0,0,409.2,2265.48,76.125,
94,160.58,160.58,0,0,0,0,0,0,0,409.2,2654.22,89.1875,
95,123.38,123.38,0,0,0,0,0,0,0,338.716,2976,100,
96,86.428,86.428,0,0,0,0,0,0,0,0,2976,100,
97,73.904,73.904,0,0,0,0,0,0,0,0,2976,100,
98,69.688,69.688,0,0,0,0,0,0,0,0,2976,100,
99,69.44,69.44,0,0,0,0,0,0,0,0,2976,100,
100,68.82,68.82,0,0,0,0,0,0,0,0,0,0,
101,76.384,76.384,0,0,0,0,0,0,0,0,0,0,
102,105.152,105.152,0,0,0,0,0,0,0,0,0,0,
103,145.204,145.204,0,0,0,0,0,0,0,0,0,0,
104,133.672,133.672,0,0,0,0,0,0,0,0,0,0,
105,107.88,107.88,0,0,0,0,0,0,0,0,0,0,
106,107.136,107.136,0,0,0,0,0,0,0,0,0,0,
107,106.888,106.888,0,0,0,0,0,0,0,0,0,0,
108,103.044,103.044,0,0,0,0,0,0,0,0,0,0,
109,102.052,102.052,0,0,0,0,0,0,0,0,0,0,
110,100.316,100.316,0,0,0,0,0,0,0,0,0,0,
111,105.152,105.152,0,0,0,0,0,0,0,0,0,0,
112,122.016,122.016,0,0,0,0,0,0,0,0,0,0,
113,162.192,162.192,0,0,0,0,0,0,0,0,0,0,
114,210.18,210.18,0,0,0,0,0,0,0,0,0,0,
115,235.848,235.848,0,0,0,0,0,0,0,0,1488,50,
116,231.384,231.384,0,0,0,0,0,0,0,409.2,1876.74,63.0625,
117,202.244,202.244,0,0,0,0,0,0,0,409.2,2265.48,76.125,
118,164.176,164.176,0,0,0,0,0,0,0,409.2,2654.22,89.1875,
119,125.736,125.736,0,0,0,0,0,0,0,338.716,2976,100,
120,87.792,87.792,0,0,0,0,0,0,0,0,2976,100,
121,75.268,75.268,0,0,0,0,0,0,0,0,2976,100,
122,70.928,70.928,0,0,0,0,0,0,0,0,2976,100,
123,69.812,69.812,0,0,0,0,0,0,0,0,2976,100,
124,70.06,70.06,0,0,0,0,0,0,0,0,0,0,
125,77.748,77.748,0,0,0,0,0,0,0,0,0,0,
126,106.64,106.64,0,0,0,0,0,0,0,0,0,0,
127,145.948,145.948,0,0,0,0,0,0,0,0,0,0,
128,137.144,137.144,0,0,0,0,0,0,0,0,0,0,
129,110.608,110.608,0,0,0,0,0,0,0,0,0,0,
130,109.864,109.864,0,0,0,0,0,0,0,0,0,0,
131,106.888,106.888,0,0,0,0,0,0,0,0,0,0,
132,103.044,103.044,0,0,0,0,0,0,0,0,0,0,
133,102.052,102.052,0,0,0,0,0,0,0,0,0,0,
134,100.316,100.316,0,0,0,0,0,0,0,0,0,0,
135,105.152,105.152,0,0,0,0,0,0,0,0,0,0,
136,122.016,122.016,0,0,0,0,0,0,0,0,0,0,
137,162.192,162.192,0,0,0,0,0,0,0,0,0,0,
138,210.18,210.18,0,0,0,0,0,0,0,0,0,0,
139,235.848,235.848,0,0,0,0,0,0,0,0,1488,50,
140,231.384,231.384,0,0,0,0,0,0,0,409.2,1876.74,63.0625,
141,202.244,202.244,0,0,0,0,0,0,0,409.2,2265.48,76.125,
142,164.176,164.176,0,0,0,0,0,0,0,409.2,2654.22,89.1875,
143,125.488,125.488,0,0,0,0,0,0,0,338.716,2976,100,
144,86.428,86.428,0,0,0,0,0,0,0,0,2976,100,
145,73.904,73.904,0,0,0,0,0,0,0,0,2976,100,
146,69.564,69.564,0,0,0,0,0,0,0,0,2976,100,
147,69.068,69.068,0,0,0,0,0,0,0,0,2976,100,
148,68.82,68.82,0,0,0,0,0,0,0,0,0,0,
149,75.888,75.888,0,0,0,0,0,0,0,0,0,0,
150,103.664,103.664,0,0,0,0,0,0,0,0,0,0,
151,142.476,142.476,0,0,0,0,0,0,0,0,0,0,
152,130.82,130.82,0,0,0,0,0,0,0,0,0,0,
153,103.788,103.788,0,0,0,0,0,0,0,0,0,0,
154,102.424,102.424,0,0,0,0,0,0,0,0,0,0,
155,100.564,100.564,0,0,0,0,0,0,0,0,0,0,
156,97.092,97.092,0,0,0,0,0,0,0,0,0,0,
157,96.596,96.596,0,0,0,0,0,0,0,0,0,0,
158,95.728,95.728,0,0,0,0,0,0,0,0,0,0,
159,100.192,100.192,0,0,0,0,0,0,0,0,0,0,
160,117.552,117.552,0,0,0,0,0,0,0,0,0,0,
161,157.728,157.728,0,0,0,0,0,0,0,0,0,0,
162,205.84,205.84,0,0,0,0,0,0,0,0,0,0,
163,231.508,231.508,0,0,0,0,0,0,0,0,1488,50,
164,226.92,226.92,0,0,0,0,0,0,0,409.2,1876.74,63.0625,
165,197.904,197.904,0,0,0,0,0,0,0,409.2,2265.48,76.125,
166,160.58,160.58,0,0,0,0,0,0,0,409.2,2654.22,89.1875,
167,123.256,123.256,0,0,0,0,0,0,0,338.716,2976,100,
168,84.196,84.196,0,0,0,0,0,0,0,0,2976,100,
169,70.184,70.184,0,0,0,0,0,0,0,0,2976,100,
170,65.224,65.224,0,0,0,0,0,0,0,0,2976,100,
171,65.1,65.1,0,0,0,0,0,0,0,0,2976,100,
172,64.728,64.728,0,0,0,0,0,0,0,0,0,0,
173,72.168,72.168,0,0,0,0,0,0,0,0,0,0,
174,100.192,100.192,0,0,0,0,0,0,0,0,0,0,
175,139.252,139.252,0,0,0,0,0,0,0,0,0,0,
176,126.728,126.728,0,0,0,0,0,0,0,0,0,0,
177,99.572,99.572,0,0,0,0,0,0,0,0,0,0,
178,99.2,99.2,0,0,0,0,0,0,0,0,0,0,
179,100.316,100.316,0,0,0,0,0,0,0,0,0,0,
180,97.092,97.092,0,0,0,0,0,0,0,0,0,0,
181,96.596,96.596,0,0,0,0,0,0,0,0,0,0,
182,95.728,95.728,0,0,0,0,0,0,0,0,0,0,
183,100.192,100.192,0,0,0,0,0,0,0,0,0,0,
184,117.552,117.552,0,0,0,0,0,0,0,0,0,0,
185,157.728,157.728,0,0,0,0,0,0,0,0,0,0,
186,205.84,205.84,0,0,0,0,0,0,0,0,0,0,
187,231.508,231.508,0,0,0,0,0,0,0,0,1488,50,
188,226.92,226.92,0,0,0,0,0,0,0,409.2,1876.74,63.0625,
189,197.904,197.904,0,0,0,0,0,0,0,409.2,2265.48,76.125,
190,160.58,160.58,0,0,0,0,0,0,0,409.2,2654.22,89.1875,
191,123.256,123.256,0,0,0,0,0,0,0,338.716,2976,100,
192,84.196,84.196,0,0,0,0,0,0,0,0,2976,100,
193,70.184,70.184,0,0,0,0,0,0,0,0,2976,100,
194,64.356,64.356,0,0,0,0,0,0,0,0,2976,100,
195,62.496,62.496,0,0,0,0,0,0,0,0,2976,100,
196,60.884,60.884,0,0,0,0,0,0,0,0,0,0,
197,67.456,67.456,0,0,0,0,0,0,0,0,0,0,
