Time step,Total load,Net load,Battery,Electric vehicle,
0,84.692,84.692,0,0,
1,72.54,72.54,0,0,
2,68.076,68.076,0,0,
3,67.332,67.332,0,0,
4,66.96,66.96,0,0,
5,74.4,74.4,0,0,
6,102.672,102.672,0,0,
7,140.988,140.988,0,0,
8,129.332,129.332,0,0,
9,101.68,101.68,0,0,
10,99.82,99.82,0,0,
11,100.316,100.316,0,0,
12,97.092,97.092,0,0,
13,96.596,96.596,0,0,
14,95.728,95.728,0,0,
15,100.192,100.192,0,0,
16,117.552,117.552,0,0,
17,157.728,157.728,0,0,
18,205.84,205.84,0,0,
19,231.508,231.508,0,0,
20,226.92,636.12,0,409.2,
21,197.904,607.104,0,409.2,
22,160.58,569.78,0,409.2,
23,123.256,461.972,0,338.716,
24,84.196,84.196,0,0,
25,70.556,70.556,0,0,
26,66.092,66.092,0,0,
27,64.976,64.976,0,0,
28,64.604,64.604,0,0,
29,71.672,71.672,0,0,
30,97.712,97.712,0,0,
31,137.392,137.392,0,0,
32,127.1,127.1,0,0,
33,100.564,100.564,0,0,
34,99.2,99.2,0,0,
35,100.316,100.316,0,0,
36,97.092,97.092,0,0,
37,96.596,96.596,0,0,
38,95.728,95.728,0,0,
39,100.192,100.192,0,0,
40,117.552,117.552,0,0,
41,157.728,157.728,0,0,
42,205.84,205.84,0,0,
43,231.508,231.508,0,0,
44,226.92,636.12,0,409.2,
45,197.904,607.104,0,409.2,
46,160.704,569.904,0,409.2,
47,124.372,463.088,0,338.716,
48,86.676,86.676,0,0,
49,74.028,74.028,0,0,
50,69.192,69.192,0,0,
51,67.952,67.952,0,0,
52,67.332,67.332,0,0,
53,74.028,74.028,0,0,
54,101.184,101.184,0,0,
55,139.624,139.624,0,0,
56,128.588,128.588,0,0,
57,100.812,100.812,0,0,
58,99.696,99.696,0,0,
59,100.812,100.812,0,0,
60,97.092,97.092,0,0,
61,96.596,96.596,0,0,
62,95.728,95.728,0,0,
63,100.192,100.192,0,0,
64,117.552,117.552,0,0,
65,157.728,157.728,0,0,
66,205.84,205.84,0,0,
67,231.508,231.508,0,0,
68,226.92,636.12,0,409.2,
69,197.904,607.104,0,409.2,
70,160.58,569.78,0,409.2,
71,124.124,462.84,0,338.716,
72,86.924,86.924,0,0,
73,74.276,74.276,0,0,
74,69.812,69.812,0,0,
75,69.316,69.316,0,0,
76,68.944,68.944,0,0,
77,75.888,75.888,0,0,
78,103.788,103.788,0,0,
